 #         230 :  dS/dz_{mu+} (fb/GeV) (NLO)	 #         230 :  dS/dz_{mu+} (fb/GeV) (NLO)
-0.500000E-01 0.00000 0.0 0.0	-0.500000E-01 0.00000 0.0 0.0
0.00000 0.500000E-01 4.593232656249997 0.0010244672574222682	0.00000 0.500000E-01 0.68164425 0.002702973412589878
0.500000E-01 0.100000 4.499298593750002 0.0012501855822146632	0.500000E-01 0.100000 0.6808801249999998 0.002004002146009174
0.100000 0.150000 4.310657343750003 0.0014091022605021855	0.100000 0.150000 0.6763002500000002 0.002145275553371264
0.150000 0.200000 4.0312853906249995 0.0013661465615408413	0.150000 0.200000 0.66498184375 0.0019666578703621093
0.200000 0.250000 3.6681209375 0.0011650278690781537	0.200000 0.250000 0.6603732187500001 0.0019147261888365409
0.250000 0.300000 3.227707890624999 0.0010438671998589436	0.250000 0.300000 0.6452981562500001 0.0020469282001193754
0.300000 0.350000 2.736449609375 0.0009933844694004104	0.300000 0.350000 0.62553853125 0.0016317640527491217
0.350000 0.400000 2.2406168750000006 0.0009054831619573202	0.350000 0.400000 0.5993521562500002 0.002139081086991904
0.400000 0.450000 1.7499021093749987 0.0013057026426264754	0.400000 0.450000 0.5699539375 0.0019684216128028603
0.450000 0.500000 1.2994834374999995 0.0012676868543161472	0.450000 0.500000 0.5362879375 0.0017278795885345474
0.500000 0.550000 1.0056041484374998 0.000706407475372381	0.500000 0.550000 0.5083863437499999 0.002426280571626828
0.550000 0.600000 0.8091378359374998 0.0007749649670539942	0.550000 0.600000 0.48979446875 0.0015891774800584429
0.600000 0.650000 0.6472380156249999 0.0007401168751975535	0.600000 0.650000 0.47313131250000007 0.0015869311198584194
0.650000 0.700000 0.5158539062500002 0.0006799236682175515	0.650000 0.700000 0.4520665 0.001483589713214953
0.700000 0.750000 0.41678310156250004 0.0008293124281133502	0.700000 0.750000 0.42357378125000017 0.001879676932183666
0.750000 0.800000 0.340533453125 0.0007363755875974755	0.750000 0.800000 0.40218875000000004 0.0014742890836812897
0.800000 0.850000 0.28329203124999996 0.00047845044824966346	0.800000 0.850000 0.3790438125000001 0.0015288232004915514
0.850000 0.900000 0.24004834374999995 0.0004379047617946362	0.850000 0.900000 0.3563702812500001 0.0016653722207238218
0.900000 0.950000 0.20489972656249994 0.0004252275976694441	0.900000 0.950000 0.33581959375000003 0.0016184408246762106
0.950000 1.00000 0.177879625 0.00041436854662889815	0.950000 1.00000 0.3170266875 0.0014694721740653159
1.00000 1.05000 0.15640504687500012 0.0004325233626250559	1.00000 1.05000 0.29734465625 0.0015428333737419072
1.05000 1.10000 0.1384070078125 0.0004089527234883604	1.05000 1.10000 0.28292215625 0.0017780057169534196
1.10000 1.15000 0.12480291406250003 0.0003977788258823297	1.10000 1.15000 0.26535896875 0.0016806076220240616
1.15000 1.20000 0.11247329843749997 0.00037447004373430216	1.15000 1.20000 0.2499575 0.001680592051895793
1.20000 1.25000 0.10302904062500003 0.0003371030021357899	1.20000 1.25000 0.23337096875 0.0014988708752362706
1.25000 1.30000 0.09420033593749996 0.0003400348296086069	1.25000 1.30000 0.22708168749999996 0.0014082402291427326
1.30000 1.35000 0.08674386328125004 0.0003571387804668921	1.30000 1.35000 0.21089743749999998 0.001733079834043392
1.35000 1.40000 0.08128352031250004 0.00041663981867860994	1.35000 1.40000 0.20138212500000005 0.00162101096682948
1.40000 1.45000 0.07595451562499998 0.00031296099981717755	1.40000 1.45000 0.19461043750000007 0.0014913906631621988
1.45000 1.50000 0.07071022265625004 0.00030015630335884156	1.45000 1.50000 0.18243984374999997 0.0033663076451098317
1.50000 1.55000 3.0493526562499986 0.00087918788778247	1.50000 1.55000 6.665438749999999 0.007975863256273483
