# BEGIN PLOT
LegendOnly=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/m_ll /run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/m_ll /PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/m_ll /PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/m_ll
DrawOnly=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/m_ll /run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/m_ll /PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/m_ll /PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/m_ll
RatioPlotReference=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/m_ll
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=red
LineStyle=dashed
Path=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=6.19645389419520692e-06
Title=AMC,LO,H++
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	5.113995e-03	1.782609e-05	1.782609e-05
1.000000e+02	2.000000e+02	5.029662e-03	1.768564e-05	1.768564e-05
2.000000e+02	3.000000e+02	1.897416e-03	1.087491e-05	1.087491e-05
3.000000e+02	4.000000e+02	7.451236e-04	6.814127e-06	6.814127e-06
4.000000e+02	5.000000e+02	3.220917e-04	4.490612e-06	4.490612e-06
5.000000e+02	6.000000e+02	1.527426e-04	3.095127e-06	3.095127e-06
6.000000e+02	7.000000e+02	7.640228e-05	2.193405e-06	2.193405e-06
7.000000e+02	8.000000e+02	3.984320e-05	1.585857e-06	1.585857e-06
8.000000e+02	9.000000e+02	2.329867e-05	1.214252e-06	1.214252e-06
9.000000e+02	1.000000e+03	1.177326e-05	8.675035e-07	8.675035e-07
1.000000e+03	1.100000e+03	8.117355e-06	7.146099e-07	7.146099e-07
1.100000e+03	1.200000e+03	4.275553e-06	5.147161e-07	5.147161e-07
1.200000e+03	1.300000e+03	2.602511e-06	4.110263e-07	4.110263e-07
1.300000e+03	1.400000e+03	1.735007e-06	3.278855e-07	3.278855e-07
1.400000e+03	1.500000e+03	1.239291e-06	2.771138e-07	2.771138e-07
1.500000e+03	1.600000e+03	4.957163e-07	1.752622e-07	1.752622e-07
1.600000e+03	1.700000e+03	3.717872e-07	1.517815e-07	1.517815e-07
1.700000e+03	1.800000e+03	4.957164e-07	1.752622e-07	1.752622e-07
1.800000e+03	1.900000e+03	1.239291e-07	8.763109e-08	8.763109e-08
1.900000e+03	2.000000e+03	1.858936e-07	1.073257e-07	1.073257e-07
2.000000e+03	2.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+03	2.200000e+03	6.196454e-08	6.196454e-08	6.196454e-08
2.200000e+03	2.300000e+03	6.196455e-08	6.196454e-08	6.196454e-08
2.300000e+03	2.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+03	2.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+03	2.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+03	2.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+03	2.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+03	2.900000e+03	6.196455e-08	6.196454e-08	6.196454e-08
2.900000e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	6.196454e-08	6.196454e-08	6.196454e-08
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+03	3.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=red
LineStyle=solid
Path=/run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=6.19684223473544166e-06
Title=AMC,LO,H7
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	5.134394e-03	1.786142e-05	1.786142e-05
1.000000e+02	2.000000e+02	5.012316e-03	1.765361e-05	1.765361e-05
2.000000e+02	3.000000e+02	1.889789e-03	1.085244e-05	1.085244e-05
3.000000e+02	4.000000e+02	7.395931e-04	6.789149e-06	6.789149e-06
4.000000e+02	5.000000e+02	3.222978e-04	4.487045e-06	4.487045e-06
5.000000e+02	6.000000e+02	1.543014e-04	3.110790e-06	3.110790e-06
6.000000e+02	7.000000e+02	7.411423e-05	2.162689e-06	2.162689e-06
7.000000e+02	8.000000e+02	3.965979e-05	1.584745e-06	1.584745e-06
8.000000e+02	9.000000e+02	2.323816e-05	1.212746e-06	1.212746e-06
9.000000e+02	1.000000e+03	1.195990e-05	8.741722e-07	8.741722e-07
1.000000e+03	1.100000e+03	8.303768e-06	7.173364e-07	7.173364e-07
1.100000e+03	1.200000e+03	4.027947e-06	5.072334e-07	5.072334e-07
1.200000e+03	1.300000e+03	2.540705e-06	4.063542e-07	4.063542e-07
1.300000e+03	1.400000e+03	1.611179e-06	3.159782e-07	3.159782e-07
1.400000e+03	1.500000e+03	1.053463e-06	2.555024e-07	2.555024e-07
1.500000e+03	1.600000e+03	6.816526e-07	2.055260e-07	2.055260e-07
1.600000e+03	1.700000e+03	3.098421e-07	1.385656e-07	1.385656e-07
1.700000e+03	1.800000e+03	4.957473e-07	1.752732e-07	1.752732e-07
1.800000e+03	1.900000e+03	1.239368e-07	8.763659e-08	8.763659e-08
1.900000e+03	2.000000e+03	1.859053e-07	1.073325e-07	1.073325e-07
2.000000e+03	2.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+03	2.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+03	2.300000e+03	6.196842e-08	6.196843e-08	6.196843e-08
2.300000e+03	2.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+03	2.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+03	2.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+03	2.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+03	2.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+03	2.900000e+03	6.196842e-08	6.196843e-08	6.196843e-08
2.900000e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	6.196842e-08	6.196843e-08	6.196843e-08
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+03	3.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=green
LineStyle=dashed
Path=/PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=1.33288898722063276e-06
Title=phantom,H++
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	4.775661e-03	7.978363e-06	7.978363e-06
1.000000e+02	2.000000e+02	4.708111e-03	7.921734e-06	7.921734e-06
2.000000e+02	3.000000e+02	1.774568e-03	4.863438e-06	4.863438e-06
3.000000e+02	4.000000e+02	7.094168e-04	3.075019e-06	3.075019e-06
4.000000e+02	5.000000e+02	3.125091e-04	2.040931e-06	2.040931e-06
5.000000e+02	6.000000e+02	1.491636e-04	1.410030e-06	1.410030e-06
6.000000e+02	7.000000e+02	7.760083e-05	1.017021e-06	1.017021e-06
7.000000e+02	8.000000e+02	4.045318e-05	7.342998e-07	7.342998e-07
8.000000e+02	9.000000e+02	2.164612e-05	5.371394e-07	5.371394e-07
9.000000e+02	1.000000e+03	1.262246e-05	4.101748e-07	4.101748e-07
1.000000e+03	1.100000e+03	6.917694e-06	3.036531e-07	3.036531e-07
1.100000e+03	1.200000e+03	4.598467e-06	2.475732e-07	2.475732e-07
1.200000e+03	1.300000e+03	2.839053e-06	1.945287e-07	1.945287e-07
1.300000e+03	1.400000e+03	1.639454e-06	1.478246e-07	1.478246e-07
1.400000e+03	1.500000e+03	1.239587e-06	1.285392e-07	1.285392e-07
1.500000e+03	1.600000e+03	6.531156e-07	9.330223e-08	9.330223e-08
1.600000e+03	1.700000e+03	4.131956e-07	7.421212e-08	7.421212e-08
1.700000e+03	1.800000e+03	4.265244e-07	7.539960e-08	7.539960e-08
1.800000e+03	1.900000e+03	1.866045e-07	4.987214e-08	4.987214e-08
1.900000e+03	2.000000e+03	1.066311e-07	3.769979e-08	3.769979e-08
2.000000e+03	2.100000e+03	1.732756e-07	4.805800e-08	4.805800e-08
2.100000e+03	2.200000e+03	6.664443e-08	2.980431e-08	2.980431e-08
2.200000e+03	2.300000e+03	3.998667e-08	2.308631e-08	2.308631e-08
2.300000e+03	2.400000e+03	2.665778e-08	1.884990e-08	1.884990e-08
2.400000e+03	2.500000e+03	1.332889e-08	1.332889e-08	1.332889e-08
2.500000e+03	2.600000e+03	6.664443e-08	2.980431e-08	2.980431e-08
2.600000e+03	2.700000e+03	2.665778e-08	1.884990e-08	1.884990e-08
2.700000e+03	2.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+03	2.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+03	3.000000e+03	1.332889e-08	1.332889e-08	1.332889e-08
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+03	3.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=green
LineStyle=solid
Path=/PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=1.34477150036247079e-06
Title=phantom,H7
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	4.788032e-03	8.024219e-06	8.024219e-06
1.000000e+02	2.000000e+02	4.696211e-03	7.946904e-06	7.946904e-06
2.000000e+02	3.000000e+02	1.766142e-03	4.873457e-06	4.873457e-06
3.000000e+02	4.000000e+02	7.028178e-04	3.074296e-06	3.074296e-06
4.000000e+02	5.000000e+02	3.124711e-04	2.049883e-06	2.049883e-06
5.000000e+02	6.000000e+02	1.479114e-04	1.410344e-06	1.410344e-06
6.000000e+02	7.000000e+02	7.698816e-05	1.017504e-06	1.017504e-06
7.000000e+02	8.000000e+02	3.945559e-05	7.284145e-07	7.284145e-07
8.000000e+02	9.000000e+02	2.174496e-05	5.407587e-07	5.407587e-07
9.000000e+02	1.000000e+03	1.222398e-05	4.054436e-07	4.054436e-07
1.000000e+03	1.100000e+03	7.127291e-06	3.095896e-07	3.095896e-07
1.100000e+03	1.200000e+03	4.639462e-06	2.497802e-07	2.497802e-07
1.200000e+03	1.300000e+03	2.689543e-06	1.901794e-07	1.901794e-07
1.300000e+03	1.400000e+03	1.654069e-06	1.491424e-07	1.491424e-07
1.400000e+03	1.500000e+03	1.183399e-06	1.261507e-07	1.261507e-07
1.500000e+03	1.600000e+03	6.320426e-07	9.219288e-08	9.219288e-08
1.600000e+03	1.700000e+03	3.496406e-07	6.857016e-08	6.857016e-08
1.700000e+03	1.800000e+03	3.899837e-07	7.241815e-08	7.241815e-08
1.800000e+03	1.900000e+03	2.151634e-07	5.379086e-08	5.379086e-08
1.900000e+03	2.000000e+03	1.479249e-07	4.460102e-08	4.460102e-08
2.000000e+03	2.100000e+03	1.479249e-07	4.460102e-08	4.460102e-08
2.100000e+03	2.200000e+03	6.723856e-08	3.007001e-08	3.007001e-08
2.200000e+03	2.300000e+03	4.034314e-08	2.329212e-08	2.329212e-08
2.300000e+03	2.400000e+03	2.689543e-08	1.901794e-08	1.901794e-08
2.400000e+03	2.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+03	2.600000e+03	6.723856e-08	3.007001e-08	3.007001e-08
2.600000e+03	2.700000e+03	1.344771e-08	1.344771e-08	1.344771e-08
2.700000e+03	2.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+03	2.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+03	3.000000e+03	1.344771e-08	1.344771e-08	1.344771e-08
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
