# BEGIN PLOT
LegendOnly=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/pT_j2 /run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/pT_j2 /PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/pT_j2 /PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/pT_j2
DrawOnly=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/pT_j2 /run_1M_LOPS-HWPP/run_1M_LOPS-HW7.yoda/MC_VBSCAN_MCComparison/pT_j2 /PHANTOM_loose_cuts2_hwpp/phantom_hwpp_norm.yoda/MC_VBSCAN_MCComparison/pT_j2 /PHANTOM_loose_cuts2_hwpp/phantom_H7_norm.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotReference=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/pT_j2
LineColor=red
LineStyle=dashed
Path=/run_1M_LOPS-HWPP/run_1M_LOPS-HWPP.yoda/MC_VBSCAN_MCComparison/pT_j2
ScaledBy=6.19645389419520692e-06
Title=AMC,LO,H++
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	8.245992e-03	4.526042e-05	4.526042e-05
5.000000e+01	7.500000e+01	1.173930e-02	5.401773e-05	5.401773e-05
7.500000e+01	1.000000e+02	1.019366e-02	5.037622e-05	5.037622e-05
1.000000e+02	1.250000e+02	7.407736e-03	4.294389e-05	4.294389e-05
1.250000e+02	1.500000e+02	5.101168e-03	3.564938e-05	3.564938e-05
1.500000e+02	1.750000e+02	3.396152e-03	2.908085e-05	2.908085e-05
1.750000e+02	2.000000e+02	2.263193e-03	2.375433e-05	2.375433e-05
2.000000e+02	2.250000e+02	1.513422e-03	1.943752e-05	1.943752e-05
2.250000e+02	2.500000e+02	1.072234e-03	1.633233e-05	1.633233e-05
2.500000e+02	2.750000e+02	7.430788e-04	1.362093e-05	1.362093e-05
2.750000e+02	3.000000e+02	5.291772e-04	1.150607e-05	1.150607e-05
3.000000e+02	3.250000e+02	3.898809e-04	9.880187e-06	9.880187e-06
3.250000e+02	3.500000e+02	2.929684e-04	8.543021e-06	8.543021e-06
3.500000e+02	3.750000e+02	2.025001e-04	7.110549e-06	7.110549e-06
3.750000e+02	4.000000e+02	1.509456e-04	6.146682e-06	6.146682e-06
4.000000e+02	4.250000e+02	1.050919e-04	5.151635e-06	5.151635e-06
4.250000e+02	4.500000e+02	8.402392e-05	4.590397e-06	4.590397e-06
4.500000e+02	4.750000e+02	7.138316e-05	4.206292e-06	4.206292e-06
4.750000e+02	5.000000e+02	4.932376e-05	3.513996e-06	3.513996e-06
5.000000e+02	5.250000e+02	4.089660e-05	3.183796e-06	3.183796e-06
5.250000e+02	5.500000e+02	2.404224e-05	2.441120e-06	2.441120e-06
5.500000e+02	5.750000e+02	2.181152e-05	2.325116e-06	2.325116e-06
5.750000e+02	6.000000e+02	1.759793e-05	2.117701e-06	2.117701e-06
6.000000e+02	6.250000e+02	1.660650e-05	2.058865e-06	2.058865e-06
