# BEGIN PLOT
LegendOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj
DrawOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj
RatioPlotReference=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj
LineColor=blue
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/Deltay_jj
ScaledBy=2.14720579011889420e-06
Title=MG5aMC-HWpp-new-mush1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	2.558524e-01	1.533808e-03	1.533808e-03
3.000000e+00	3.500000e+00	3.529320e-01	1.814428e-03	1.814428e-03
3.500000e+00	4.000000e+00	4.317300e-01	2.006170e-03	2.006170e-03
4.000000e+00	4.500000e+00	4.597512e-01	2.061800e-03	2.061800e-03
4.500000e+00	5.000000e+00	4.349680e-01	1.986624e-03	1.986624e-03
5.000000e+00	5.500000e+00	3.593606e-01	1.800199e-03	1.800199e-03
5.500000e+00	6.000000e+00	2.711148e-01	1.548979e-03	1.548979e-03
6.000000e+00	6.500000e+00	1.802021e-01	1.252894e-03	1.252894e-03
6.500000e+00	7.000000e+00	1.055008e-01	9.497838e-04	9.497838e-04
7.000000e+00	7.500000e+00	5.158876e-02	6.628575e-04	6.628575e-04
7.500000e+00	8.000000e+00	2.071624e-02	4.164472e-04	4.164472e-04
8.000000e+00	8.500000e+00	5.758806e-03	2.245037e-04	2.245037e-04
8.500000e+00	9.000000e+00	8.030550e-04	8.204462e-05	8.204462e-05
9.000000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj
LineColor=red
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/Deltay_jj
ScaledBy=2.14430019505800050e-06
Title=MG5aMC-HWpp-new-mush05
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	2.578650e-01	1.536696e-03	1.536696e-03
3.000000e+00	3.500000e+00	3.524072e-01	1.817441e-03	1.817441e-03
3.500000e+00	4.000000e+00	4.297950e-01	2.005506e-03	2.005506e-03
4.000000e+00	4.500000e+00	4.610032e-01	2.063646e-03	2.063646e-03
4.500000e+00	5.000000e+00	4.335004e-01	1.992100e-03	1.992100e-03
5.000000e+00	5.500000e+00	3.620908e-01	1.801483e-03	1.801483e-03
5.500000e+00	6.000000e+00	2.727036e-01	1.549188e-03	1.549188e-03
6.000000e+00	6.500000e+00	1.774237e-01	1.254333e-03	1.254333e-03
6.500000e+00	7.000000e+00	1.046033e-01	9.507837e-04	9.507837e-04
