# BEGIN PLOT
LegendOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_jj
DrawOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_jj
RatioPlotReference=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj
LineColor=blue
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj
ScaledBy=2.14720579011889420e-06
Title=MG5aMC-HWpp-new-mush1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	6.000000e+02	1.024496e-03	6.958106e-06	6.958106e-06
6.000000e+02	7.000000e+02	1.063940e-03	7.109553e-06	7.109553e-06
7.000000e+02	8.000000e+02	1.051122e-03	7.037432e-06	7.037432e-06
8.000000e+02	9.000000e+02	1.018763e-03	6.926861e-06	6.926861e-06
9.000000e+02	1.000000e+03	9.643745e-04	6.692844e-06	6.692844e-06
1.000000e+03	1.100000e+03	9.017620e-04	6.469293e-06	6.469293e-06
1.100000e+03	1.200000e+03	8.423488e-04	6.218450e-06	6.218450e-06
1.200000e+03	1.300000e+03	7.820768e-04	5.960150e-06	5.960150e-06
1.300000e+03	1.400000e+03	7.067957e-04	5.681500e-06	5.681500e-06
1.400000e+03	1.500000e+03	6.438397e-04	5.413983e-06	5.413983e-06
1.500000e+03	1.600000e+03	5.894724e-04	5.167544e-06	5.167544e-06
1.600000e+03	1.700000e+03	5.344610e-04	4.883796e-06	4.883796e-06
1.700000e+03	1.800000e+03	4.839158e-04	4.634931e-06	4.634931e-06
1.800000e+03	1.900000e+03	4.315669e-04	4.389395e-06	4.389395e-06
1.900000e+03	2.000000e+03	3.916718e-04	4.183747e-06	4.183747e-06
2.000000e+03	2.100000e+03	3.560497e-04	3.973317e-06	3.973317e-06
2.100000e+03	2.200000e+03	3.255164e-04	3.767596e-06	3.767596e-06
2.200000e+03	2.300000e+03	2.845692e-04	3.543020e-06	3.543020e-06
