# BEGIN PLOT
LegendOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll
DrawOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll
RatioPlotReference=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=blue
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=2.14720579011889420e-06
Title=MG5aMC-HWpp-new-mush1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	5.571119e-03	1.590824e-05	1.590824e-05
1.000000e+02	2.000000e+02	5.482546e-03	1.577067e-05	1.577067e-05
2.000000e+02	3.000000e+02	2.056830e-03	9.659062e-06	9.659062e-06
3.000000e+02	4.000000e+02	8.178922e-04	6.139695e-06	6.139695e-06
4.000000e+02	5.000000e+02	3.569515e-04	4.042111e-06	4.042111e-06
5.000000e+02	6.000000e+02	1.722918e-04	2.831871e-06	2.831871e-06
6.000000e+02	7.000000e+02	8.945259e-05	2.013571e-06	2.013571e-06
7.000000e+02	8.000000e+02	4.481218e-05	1.459310e-06	1.459310e-06
8.000000e+02	9.000000e+02	2.312541e-05	1.082796e-06	1.082796e-06
9.000000e+02	1.000000e+03	1.498750e-05	8.198840e-07	8.198840e-07
1.000000e+03	1.100000e+03	8.137910e-06	6.315122e-07	6.315122e-07
1.100000e+03	1.200000e+03	4.874157e-06	4.815681e-07	4.815681e-07
1.200000e+03	1.300000e+03	2.855784e-06	3.941746e-07	3.941746e-07
1.300000e+03	1.400000e+03	1.460100e-06	3.036607e-07	3.036607e-07
1.400000e+03	1.500000e+03	1.374212e-06	2.558691e-07	2.558691e-07
1.500000e+03	1.600000e+03	6.871058e-07	2.103823e-07	2.103823e-07
1.600000e+03	1.700000e+03	7.944662e-07	1.503044e-07	1.503044e-07
1.700000e+03	1.800000e+03	7.300500e-07	1.358012e-07	1.358012e-07
1.800000e+03	1.900000e+03	2.361926e-07	1.073603e-07	1.073603e-07
1.900000e+03	2.000000e+03	6.441614e-08	7.121476e-08	7.121476e-08
2.000000e+03	2.100000e+03	8.588824e-08	7.438139e-08	7.438139e-08
2.100000e+03	2.200000e+03	6.441617e-08	4.801298e-08	4.801298e-08
2.200000e+03	2.300000e+03	3.631833e-15	3.036607e-08	3.036607e-08
2.300000e+03	2.400000e+03	-2.147206e-08	2.147206e-08	2.147206e-08
2.400000e+03	2.500000e+03	4.294410e-08	3.036608e-08	3.036608e-08
2.500000e+03	2.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+03	2.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+03	2.800000e+03	4.294411e-08	3.036608e-08	3.036608e-08
2.800000e+03	2.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	-2.147205e-08	2.147206e-08	2.147206e-08
3.400000e+03	3.500000e+03	-2.147206e-08	2.147206e-08	2.147206e-08
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+03	3.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=red
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=2.14430019505800050e-06
Title=MG5aMC-HWpp-new-mush05
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	5.599861e-03	1.592450e-05	1.592450e-05
1.000000e+02	2.000000e+02	5.478087e-03	1.579093e-05	1.579093e-05
2.000000e+02	3.000000e+02	2.037214e-03	9.682222e-06	9.682222e-06
3.000000e+02	4.000000e+02	8.205165e-04	6.121780e-06	6.121780e-06
4.000000e+02	5.000000e+02	3.626869e-04	4.080373e-06	4.080373e-06
5.000000e+02	6.000000e+02	1.619161e-04	2.826981e-06	2.826981e-06
6.000000e+02	7.000000e+02	8.757322e-05	2.022247e-06	2.022247e-06
7.000000e+02	8.000000e+02	4.689585e-05	1.460487e-06	1.460487e-06
8.000000e+02	9.000000e+02	2.468090e-05	1.074934e-06	1.074934e-06
9.000000e+02	1.000000e+03	1.376641e-05	8.254860e-07	8.254860e-07
1.000000e+03	1.100000e+03	8.512872e-06	6.386272e-07	6.386272e-07
1.100000e+03	1.200000e+03	4.760346e-06	4.823484e-07	4.823484e-07
1.200000e+03	1.300000e+03	2.766147e-06	3.817817e-07	3.817817e-07
1.300000e+03	1.400000e+03	1.865541e-06	2.947925e-07	2.947925e-07
1.400000e+03	1.500000e+03	1.286580e-06	2.573160e-07	2.573160e-07
1.500000e+03	1.600000e+03	8.577201e-07	2.056741e-07	2.056741e-07
1.600000e+03	1.700000e+03	6.647330e-07	1.561074e-07	1.561074e-07
1.700000e+03	1.800000e+03	1.072150e-07	1.154741e-07	1.154741e-07
1.800000e+03	1.900000e+03	4.288601e-07	1.212999e-07	1.212999e-07
1.900000e+03	2.000000e+03	1.715441e-07	7.428074e-08	7.428074e-08
2.000000e+03	2.100000e+03	7.763870e-15	1.005766e-07	1.005766e-07
2.100000e+03	2.200000e+03	1.072150e-07	4.794800e-08	4.794800e-08
2.200000e+03	2.300000e+03	2.144299e-08	3.714037e-08	3.714037e-08
2.300000e+03	2.400000e+03	6.432899e-08	4.794801e-08	4.794801e-08
2.400000e+03	2.500000e+03	-2.255301e-14	4.288600e-08	4.288600e-08
2.500000e+03	2.600000e+03	1.695665e-15	3.032498e-08	3.032498e-08
2.600000e+03	2.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+03	2.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+03	2.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+03	3.100000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+03	3.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
