# BEGIN PLOT
LegendOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu
DrawOnly=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_H7_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotReference=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu
LineColor=blue
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu
ScaledBy=2.14720579011889420e-06
Title=MG5aMC-HWpp-new-mush1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.009736e+00	1.896181e-02	1.896181e-02
5.000000e-02	1.000000e-01	3.885026e+00	1.874652e-02	1.874652e-02
1.000000e-01	1.500000e-01	3.721064e+00	1.834136e-02	1.834136e-02
1.500000e-01	2.000000e-01	3.475080e+00	1.769021e-02	1.769021e-02
2.000000e-01	2.500000e-01	3.115768e+00	1.681239e-02	1.681239e-02
2.500000e-01	3.000000e-01	2.693240e+00	1.563856e-02	1.563856e-02
3.000000e-01	3.500000e-01	2.219480e+00	1.427755e-02	1.427755e-02
3.500000e-01	4.000000e-01	1.764445e+00	1.277391e-02	1.277391e-02
4.000000e-01	4.500000e-01	1.300004e+00	1.098127e-02	1.098127e-02
4.500000e-01	5.000000e-01	8.892008e-01	9.111441e-03	9.111441e-03
5.000000e-01	5.500000e-01	6.442046e-01	7.733876e-03	7.733876e-03
5.500000e-01	6.000000e-01	4.689498e-01	6.671974e-03	6.671974e-03
6.000000e-01	6.500000e-01	3.433382e-01	5.644987e-03	5.644987e-03
6.500000e-01	7.000000e-01	2.380822e-01	4.647498e-03	4.647498e-03
7.000000e-01	7.500000e-01	1.617705e-01	3.897519e-03	3.897519e-03
7.500000e-01	8.000000e-01	1.178387e-01	3.259229e-03	3.259229e-03
8.000000e-01	8.500000e-01	7.605402e-02	2.702751e-03	2.702751e-03
8.500000e-01	9.000000e-01	5.711568e-02	2.221502e-03	2.221502e-03
9.000000e-01	9.500000e-01	3.886442e-02	1.854569e-03	1.854569e-03
9.500000e-01	1.000000e+00	2.606708e-02	1.532208e-03	1.532208e-03
1.000000e+00	1.050000e+00	1.601816e-02	1.267397e-03	1.267397e-03
1.050000e+00	1.100000e+00	1.352740e-02	1.071884e-03	1.071884e-03
1.100000e+00	1.150000e+00	9.619482e-03	9.130045e-04	9.130045e-04
1.150000e+00	1.200000e+00	6.226896e-03	7.173080e-04	7.173080e-04
1.200000e+00	1.250000e+00	4.208524e-03	6.073215e-04	6.073215e-04
1.250000e+00	1.300000e+00	2.791368e-03	4.605244e-04	4.605244e-04
1.300000e+00	1.350000e+00	1.159491e-03	3.515127e-04	3.515127e-04
1.350000e+00	1.400000e+00	1.331268e-03	3.066823e-04	3.066823e-04
1.400000e+00	1.450000e+00	7.300500e-04	2.749765e-04	2.749765e-04
1.450000e+00	1.500000e+00	5.153294e-04	1.821965e-04	1.821965e-04
# END HISTO1D

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu
LineColor=red
LineStyle=dashed
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT05/run_HWPP_10M_mush05.yoda/MC_VBSCAN_MCComparison/z_mu
ScaledBy=2.14430019505800050e-06
Title=MG5aMC-HWpp-new-mush05
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.994960e+00	1.903709e-02	1.903709e-02
5.000000e-02	1.000000e-01	3.878782e+00	1.877290e-02	1.877290e-02
1.000000e-01	1.500000e-01	3.762732e+00	1.837003e-02	1.837003e-02
1.500000e-01	2.000000e-01	3.437314e+00	1.768641e-02	1.768641e-02
2.000000e-01	2.500000e-01	3.130636e+00	1.681640e-02	1.681640e-02
2.500000e-01	3.000000e-01	2.666866e+00	1.567171e-02	1.567171e-02
3.000000e-01	3.500000e-01	2.246454e+00	1.430645e-02	1.430645e-02
3.500000e-01	4.000000e-01	1.744560e+00	1.272833e-02	1.272833e-02
4.000000e-01	4.500000e-01	1.316986e+00	1.099213e-02	1.099213e-02
4.500000e-01	5.000000e-01	8.893270e-01	9.171491e-03	9.171491e-03
5.000000e-01	5.500000e-01	6.484792e-01	7.738160e-03	7.738160e-03
5.500000e-01	6.000000e-01	4.818242e-01	6.651755e-03	6.651755e-03
6.000000e-01	6.500000e-01	3.383706e-01	5.646313e-03	5.646313e-03
6.500000e-01	7.000000e-01	2.349296e-01	4.647941e-03	4.647941e-03
7.000000e-01	7.500000e-01	1.670410e-01	3.918148e-03	3.918148e-03
7.500000e-01	8.000000e-01	1.145485e-01	3.231283e-03	3.231283e-03
8.000000e-01	8.500000e-01	7.710904e-02	2.719121e-03	2.719121e-03
8.500000e-01	9.000000e-01	5.360750e-02	2.211854e-03	2.211854e-03
9.000000e-01	9.500000e-01	3.881184e-02	1.843101e-03	1.843101e-03
9.500000e-01	1.000000e+00	2.873362e-02	1.564017e-03	1.564017e-03
1.000000e+00	1.050000e+00	1.899850e-02	1.256933e-03	1.256933e-03
1.050000e+00	1.100000e+00	1.260849e-02	1.067853e-03	1.067853e-03
1.100000e+00	1.150000e+00	9.520692e-03	8.913688e-04	8.913688e-04
1.150000e+00	1.200000e+00	5.189206e-03	7.189005e-04	7.189005e-04
1.200000e+00	1.250000e+00	4.588802e-03	6.432900e-04	6.432900e-04
1.250000e+00	1.300000e+00	2.315844e-03	4.736914e-04	4.736914e-04
1.300000e+00	1.350000e+00	1.372352e-03	3.738715e-04	3.738715e-04
1.350000e+00	1.400000e+00	1.115036e-03	2.712349e-04	2.712349e-04
1.400000e+00	1.450000e+00	5.575180e-04	2.309482e-04	2.309482e-04
1.450000e+00	1.500000e+00	7.290620e-04	2.228422e-04	2.228422e-04
# END HISTO1D

# BEGIN HISTO1D /run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu
LineColor=blue
LineStyle=solid
Path=/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/z_mu
ScaledBy=2.06314518852397269e-06
Title=MG5aMC-HW7-new-mush1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.879620e+00	1.833856e-02	1.833856e-02
5.000000e-02	1.000000e-01	3.812114e+00	1.815286e-02	1.815286e-02
1.000000e-01	1.500000e-01	3.621398e+00	1.776108e-02	1.776108e-02
1.500000e-01	2.000000e-01	3.366352e+00	1.710331e-02	1.710331e-02
2.000000e-01	2.500000e-01	3.033030e+00	1.626360e-02	1.626360e-02
2.500000e-01	3.000000e-01	2.624692e+00	1.513325e-02	1.513325e-02
3.000000e-01	3.500000e-01	2.189740e+00	1.383065e-02	1.383065e-02
3.500000e-01	4.000000e-01	1.718022e+00	1.234720e-02	1.234720e-02
4.000000e-01	4.500000e-01	1.271640e+00	1.063159e-02	1.063159e-02
4.500000e-01	5.000000e-01	8.645816e-01	8.819361e-03	8.819361e-03
5.000000e-01	5.500000e-01	6.215018e-01	7.452498e-03	7.452498e-03
5.500000e-01	6.000000e-01	4.614430e-01	6.445076e-03	6.445076e-03
6.000000e-01	6.500000e-01	3.351786e-01	5.472432e-03	5.472432e-03
6.500000e-01	7.000000e-01	2.302882e-01	4.489321e-03	4.489321e-03
7.000000e-01	7.500000e-01	1.552723e-01	3.739931e-03	3.739931e-03
7.500000e-01	8.000000e-01	1.060044e-01	3.107894e-03	3.107894e-03
8.000000e-01	8.500000e-01	7.567616e-02	2.601200e-03	2.601200e-03
8.500000e-01	9.000000e-01	5.698408e-02	2.171307e-03	2.171307e-03
9.000000e-01	9.500000e-01	3.552736e-02	1.766611e-03	1.766611e-03
9.500000e-01	1.000000e+00	2.533542e-02	1.464688e-03	1.464688e-03
1.000000e+00	1.050000e+00	1.687653e-02	1.217780e-03	1.217780e-03
1.050000e+00	1.100000e+00	1.299782e-02	1.011572e-03	1.011572e-03
1.100000e+00	1.150000e+00	1.068709e-02	8.586254e-04	8.586254e-04
1.150000e+00	1.200000e+00	5.446704e-03	7.123081e-04	7.123081e-04
1.200000e+00	1.250000e+00	3.507346e-03	5.642617e-04	5.642617e-04
