# BEGIN PLOT
LegendOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/pT_j1
DrawOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/pT_j1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/pT_j1
LineColor=red
LineStyle=solid
Path=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/pT_j1
ScaledBy=1.99999999999999867e+00
Title=PHANTOM_10M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	2.418040e-01	9.834714e-04	9.834714e-04
5.000000e+01	7.500000e+01	1.473908e+00	2.428092e-03	2.428092e-03
7.500000e+01	1.000000e+02	2.836432e+00	3.368342e-03	3.368342e-03
1.000000e+02	1.250000e+02	3.623588e+00	3.807145e-03	3.807145e-03
1.250000e+02	1.500000e+02	3.807464e+00	3.902545e-03	3.902545e-03
1.500000e+02	1.750000e+02	3.575460e+00	3.781777e-03	3.781777e-03
1.750000e+02	2.000000e+02	3.130348e+00	3.538558e-03	3.538558e-03
2.000000e+02	2.250000e+02	2.624256e+00	3.239911e-03	3.239911e-03
2.250000e+02	2.500000e+02	2.152044e+00	2.933969e-03	2.933969e-03
2.500000e+02	2.750000e+02	1.741968e+00	2.639673e-03	2.639673e-03
2.750000e+02	3.000000e+02	1.403944e+00	2.369763e-03	2.369763e-03
3.000000e+02	3.250000e+02	1.127620e+00	2.123789e-03	2.123789e-03
3.250000e+02	3.500000e+02	9.009440e-01	1.898361e-03	1.898361e-03
3.500000e+02	3.750000e+02	7.217000e-01	1.699059e-03	1.699059e-03
3.750000e+02	4.000000e+02	5.787840e-01	1.521557e-03	1.521557e-03
4.000000e+02	4.250000e+02	4.673120e-01	1.367204e-03	1.367204e-03
4.250000e+02	4.500000e+02	3.736640e-01	1.222561e-03	1.222561e-03
4.500000e+02	4.750000e+02	3.044320e-01	1.103507e-03	1.103507e-03
4.750000e+02	5.000000e+02	2.480200e-01	9.960321e-04	9.960321e-04
5.000000e+02	5.250000e+02	2.002680e-01	8.950263e-04	8.950263e-04
5.250000e+02	5.500000e+02	1.648280e-01	8.119803e-04	8.119803e-04
5.500000e+02	5.750000e+02	1.345360e-01	7.335830e-04	7.335830e-04
5.750000e+02	6.000000e+02	1.097560e-01	6.625889e-04	6.625889e-04
6.000000e+02	6.250000e+02	9.040000e-02	6.013319e-04	6.013319e-04
6.250000e+02	6.500000e+02	7.580000e-02	5.506360e-04	5.506360e-04
6.500000e+02	6.750000e+02	6.162800e-02	4.964997e-04	4.964997e-04
6.750000e+02	7.000000e+02	5.049200e-02	4.494085e-04	4.494085e-04
7.000000e+02	7.250000e+02	4.212000e-02	4.104632e-04	4.104632e-04
7.250000e+02	7.500000e+02	3.527200e-02	3.756168e-04	3.756168e-04
7.500000e+02	7.750000e+02	2.977600e-02	3.451145e-04	3.451145e-04
7.750000e+02	8.000000e+02	2.473200e-02	3.145282e-04	3.145282e-04
8.000000e+02	8.250000e+02	2.059600e-02	2.870261e-04	2.870261e-04
8.250000e+02	8.500000e+02	1.789600e-02	2.675519e-04	2.675519e-04
8.500000e+02	8.750000e+02	1.407200e-02	2.372509e-04	2.372509e-04
8.750000e+02	9.000000e+02	1.241600e-02	2.228542e-04	2.228542e-04
9.000000e+02	9.250000e+02	1.035200e-02	2.034896e-04	2.034896e-04
9.250000e+02	9.500000e+02	8.480000e-03	1.841738e-04	1.841738e-04
9.500000e+02	9.750000e+02	7.280000e-03	1.706458e-04	1.706458e-04
9.750000e+02	1.000000e+03	5.864000e-03	1.531535e-04	1.531535e-04
# END HISTO1D

