# BEGIN PLOT
LegendOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j2
DrawOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j2
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j2
LineColor=red
LineStyle=solid
Path=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j2
ScaledBy=1.99999999999999867e+00
Title=PHANTOM_10M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	3.267060e+01	8.083390e-02	8.083390e-02
-4.000000e+00	-3.500000e+00	7.966480e+01	1.262258e-01	1.262258e-01
-3.500000e+00	-3.000000e+00	1.290674e+02	1.606657e-01	1.606657e-01
-3.000000e+00	-2.500000e+00	1.579632e+02	1.777432e-01	1.777432e-01
-2.500000e+00	-2.000000e+00	1.536820e+02	1.753180e-01	1.753180e-01
-2.000000e+00	-1.500000e+00	1.217300e+02	1.560320e-01	1.560320e-01
-1.500000e+00	-1.000000e+00	7.867160e+01	1.254365e-01	1.254365e-01
-1.000000e+00	-5.000000e-01	4.063040e+01	9.014477e-02	9.014477e-02
-5.000000e-01	0.000000e+00	1.846420e+01	6.076874e-02	6.076874e-02
0.000000e+00	5.000000e-01	1.847720e+01	6.079013e-02	6.079013e-02
5.000000e-01	1.000000e+00	4.057940e+01	9.008818e-02	9.008818e-02
1.000000e+00	1.500000e+00	7.853160e+01	1.253249e-01	1.253249e-01
1.500000e+00	2.000000e+00	1.215664e+02	1.559272e-01	1.559272e-01
2.000000e+00	2.500000e+00	1.532788e+02	1.750879e-01	1.750879e-01
2.500000e+00	3.000000e+00	1.581178e+02	1.778301e-01	1.778301e-01
3.000000e+00	3.500000e+00	1.287926e+02	1.604946e-01	1.604946e-01
3.500000e+00	4.000000e+00	7.972360e+01	1.262724e-01	1.262724e-01
4.000000e+00	4.500000e+00	3.271640e+01	8.089054e-02	8.089054e-02
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

