# BEGIN PLOT
LegendOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/m_ll
DrawOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/m_ll
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/m_ll
LineColor=red
LineStyle=solid
Path=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/m_ll
ScaledBy=1.99999999999999867e+00
Title=PHANTOM_10M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	3.078590e+00	1.754591e-03	1.754591e-03
1.000000e+02	2.000000e+02	3.039005e+00	1.743274e-03	1.743274e-03
2.000000e+02	3.000000e+02	1.143674e+00	1.069427e-03	1.069427e-03
3.000000e+02	4.000000e+02	4.566390e-01	6.757507e-04	6.757507e-04
4.000000e+02	5.000000e+02	2.009000e-01	4.482187e-04	4.482187e-04
5.000000e+02	6.000000e+02	9.505400e-02	3.083083e-04	3.083083e-04
6.000000e+02	7.000000e+02	4.799300e-02	2.190730e-04	2.190730e-04
7.000000e+02	8.000000e+02	2.543900e-02	1.594961e-04	1.594961e-04
8.000000e+02	9.000000e+02	1.416000e-02	1.189958e-04	1.189958e-04
9.000000e+02	1.000000e+03	8.053000e-03	8.973851e-05	8.973851e-05
1.000000e+03	1.100000e+03	4.701000e-03	6.856384e-05	6.856384e-05
1.100000e+03	1.200000e+03	2.754000e-03	5.247857e-05	5.247857e-05
1.200000e+03	1.300000e+03	1.647000e-03	4.058325e-05	4.058325e-05
1.300000e+03	1.400000e+03	1.083000e-03	3.290897e-05	3.290897e-05
1.400000e+03	1.500000e+03	7.180000e-04	2.679552e-05	2.679552e-05
1.500000e+03	1.600000e+03	4.080000e-04	2.019901e-05	2.019901e-05
1.600000e+03	1.700000e+03	2.830000e-04	1.682260e-05	1.682260e-05
1.700000e+03	1.800000e+03	1.710000e-04	1.307670e-05	1.307670e-05
1.800000e+03	1.900000e+03	1.130000e-04	1.063015e-05	1.063015e-05
1.900000e+03	2.000000e+03	8.500000e-05	9.219544e-06	9.219544e-06
2.000000e+03	2.100000e+03	5.500000e-05	7.416198e-06	7.416198e-06
2.100000e+03	2.200000e+03	3.200000e-05	5.656854e-06	5.656854e-06
2.200000e+03	2.300000e+03	2.400000e-05	4.898979e-06	4.898979e-06
2.300000e+03	2.400000e+03	1.100000e-05	3.316625e-06	3.316625e-06
2.400000e+03	2.500000e+03	1.600000e-05	4.000000e-06	4.000000e-06
2.500000e+03	2.600000e+03	5.000000e-06	2.236068e-06	2.236068e-06
2.600000e+03	2.700000e+03	9.000000e-06	3.000000e-06	3.000000e-06
2.700000e+03	2.800000e+03	5.000000e-06	2.236068e-06	2.236068e-06
2.800000e+03	2.900000e+03	5.000000e-06	2.236068e-06	2.236068e-06
2.900000e+03	3.000000e+03	2.000000e-06	1.414214e-06	1.414214e-06
3.000000e+03	3.100000e+03	4.000000e-06	2.000000e-06	2.000000e-06
3.100000e+03	3.200000e+03	1.000000e-06	1.000000e-06	1.000000e-06
3.200000e+03	3.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+03	3.400000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+03	3.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+03	3.600000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+03	3.700000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+03	3.800000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

