# BEGIN PLOT
LegendOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j1
DrawOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j1
LineColor=red
LineStyle=solid
Path=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/y_j1
ScaledBy=1.99999999999999867e+00
Title=PHANTOM_10M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	8.821200e+00	4.200286e-02	4.200286e-02
-4.000000e+00	-3.500000e+00	3.573220e+01	8.453662e-02	8.453662e-02
-3.500000e+00	-3.000000e+00	8.565660e+01	1.308867e-01	1.308867e-01
-3.000000e+00	-2.500000e+00	1.404570e+02	1.676049e-01	1.676049e-01
-2.500000e+00	-2.000000e+00	1.679004e+02	1.832487e-01	1.832487e-01
-2.000000e+00	-1.500000e+00	1.541418e+02	1.755801e-01	1.755801e-01
-1.500000e+00	-1.000000e+00	1.122188e+02	1.498124e-01	1.498124e-01
-1.000000e+00	-5.000000e-01	6.733180e+01	1.160446e-01	1.160446e-01
-5.000000e-01	0.000000e+00	3.941720e+01	8.878874e-02	8.878874e-02
0.000000e+00	5.000000e-01	3.948740e+01	8.886777e-02	8.886777e-02
5.000000e-01	1.000000e+00	6.714000e+01	1.158792e-01	1.158792e-01
1.000000e+00	1.500000e+00	1.123816e+02	1.499210e-01	1.499210e-01
1.500000e+00	2.000000e+00	1.539590e+02	1.754759e-01	1.754759e-01
2.000000e+00	2.500000e+00	1.684184e+02	1.835311e-01	1.835311e-01
2.500000e+00	3.000000e+00	1.410132e+02	1.679364e-01	1.679364e-01
3.000000e+00	3.500000e+00	8.569380e+01	1.309151e-01	1.309151e-01
3.500000e+00	4.000000e+00	3.569100e+01	8.448787e-02	8.448787e-02
4.000000e+00	4.500000e+00	8.866600e+00	4.211081e-02	4.211081e-02
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

