# BEGIN PLOT
LegendOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/z_mu
DrawOnly=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/z_mu
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/z_mu
LineColor=red
LineStyle=solid
Path=/PHANTOM_10M.yoda/MC_VBSCAN_MCComparison/z_mu
ScaledBy=1.99999999999999867e+00
Title=PHANTOM_10M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.096192e+03	1.480670e+00	1.480670e+00
5.000000e-02	1.000000e-01	1.070306e+03	1.463083e+00	1.463083e+00
1.000000e-01	1.500000e-01	1.026458e+03	1.432800e+00	1.432800e+00
1.500000e-01	2.000000e-01	9.563540e+02	1.383007e+00	1.383007e+00
2.000000e-01	2.500000e-01	8.610960e+02	1.312323e+00	1.312323e+00
2.500000e-01	3.000000e-01	7.494940e+02	1.224332e+00	1.224332e+00
3.000000e-01	3.500000e-01	6.238940e+02	1.117044e+00	1.117044e+00
3.500000e-01	4.000000e-01	4.961500e+02	9.961426e-01	9.961426e-01
4.000000e-01	4.500000e-01	3.653760e+02	8.548403e-01	8.548403e-01
4.500000e-01	5.000000e-01	2.531520e+02	7.115504e-01	7.115504e-01
5.000000e-01	5.500000e-01	1.813060e+02	6.021727e-01	6.021727e-01
5.500000e-01	6.000000e-01	1.337300e+02	5.171654e-01	5.171654e-01
6.000000e-01	6.500000e-01	9.523200e+01	4.364218e-01	4.364218e-01
6.500000e-01	7.000000e-01	6.624400e+01	3.639890e-01	3.639890e-01
7.000000e-01	7.500000e-01	4.475200e+01	2.991722e-01	2.991722e-01
7.500000e-01	8.000000e-01	3.070400e+01	2.478064e-01	2.478064e-01
8.000000e-01	8.500000e-01	2.102000e+01	2.050366e-01	2.050366e-01
8.500000e-01	9.000000e-01	1.430800e+01	1.691626e-01	1.691626e-01
9.000000e-01	9.500000e-01	9.686000e+00	1.391833e-01	1.391833e-01
9.500000e-01	1.000000e+00	6.606000e+00	1.149435e-01	1.149435e-01
1.000000e+00	1.050000e+00	4.534000e+00	9.522605e-02	9.522605e-02
1.050000e+00	1.100000e+00	2.978000e+00	7.717513e-02	7.717513e-02
1.100000e+00	1.150000e+00	2.076000e+00	6.443601e-02	6.443601e-02
1.150000e+00	1.200000e+00	1.452000e+00	5.388877e-02	5.388877e-02
1.200000e+00	1.250000e+00	9.320000e-01	4.317407e-02	4.317407e-02
1.250000e+00	1.300000e+00	5.100000e-01	3.193744e-02	3.193744e-02
1.300000e+00	1.350000e+00	3.180000e-01	2.521904e-02	2.521904e-02
1.350000e+00	1.400000e+00	2.620000e-01	2.289105e-02	2.289105e-02
1.400000e+00	1.450000e+00	1.540000e-01	1.754993e-02	1.754993e-02
1.450000e+00	1.500000e+00	1.160000e-01	1.523155e-02	1.523155e-02
# END HISTO1D

