# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
Title=Transverse momentum of the third jet
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
XLabel=$p_{T,j3}$~[GeV]
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~p_{T,j3}$~[fb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=0
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
RatioPlotErrorBandColor=red
ScaledBy=1.91088153257004890e-04
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	1.204922e-02	3.532159e-05	3.532159e-05
4.000000e+01	5.000000e+01	7.845487e-03	2.904661e-05	2.904661e-05
5.000000e+01	6.000000e+01	5.295859e-03	2.151990e-05	2.151990e-05
6.000000e+01	7.000000e+01	3.653639e-03	1.779763e-05	1.779763e-05
7.000000e+01	8.000000e+01	2.574097e-03	1.456739e-05	1.456739e-05
8.000000e+01	9.000000e+01	1.849890e-03	1.200695e-05	1.200695e-05
9.000000e+01	1.000000e+02	1.338354e-03	9.059512e-06	9.059512e-06
1.000000e+02	1.100000e+02	9.803668e-04	8.174138e-06	8.174138e-06
1.100000e+02	1.200000e+02	7.183118e-04	7.450275e-06	7.450275e-06
1.200000e+02	1.300000e+02	5.419966e-04	7.403490e-06	7.403490e-06
1.300000e+02	1.400000e+02	3.909600e-04	5.787893e-06	5.787893e-06
1.400000e+02	1.500000e+02	3.015240e-04	4.888422e-06	4.888422e-06
1.500000e+02	1.600000e+02	2.275384e-04	4.231944e-06	4.231944e-06
1.600000e+02	1.700000e+02	1.722031e-04	3.423814e-06	3.423814e-06
1.700000e+02	1.800000e+02	1.441163e-04	4.596413e-06	4.596413e-06
1.800000e+02	1.900000e+02	1.128906e-04	4.216131e-06	4.216131e-06
1.900000e+02	2.000000e+02	8.454280e-05	2.783057e-06	2.783057e-06
2.000000e+02	2.100000e+02	6.800945e-05	3.039940e-06	3.039940e-06
2.100000e+02	2.200000e+02	5.420600e-05	2.920713e-06	2.920713e-06
2.200000e+02	2.300000e+02	4.001691e-05	1.779163e-06	1.779163e-06
2.300000e+02	2.400000e+02	3.428046e-05	2.237844e-06	2.237844e-06
2.400000e+02	2.500000e+02	2.985717e-05	2.509235e-06	2.509235e-06
2.500000e+02	2.600000e+02	2.360483e-05	1.622267e-06	1.622267e-06
2.600000e+02	2.700000e+02	1.884647e-05	2.301841e-06	2.301841e-06
2.700000e+02	2.800000e+02	2.013179e-05	2.562171e-06	2.562171e-06
2.800000e+02	2.900000e+02	1.337914e-05	1.416733e-06	1.416733e-06
2.900000e+02	3.000000e+02	9.447886e-06	1.066892e-06	1.066892e-06
3.000000e+02	3.100000e+02	7.779017e-06	9.017533e-07	9.017533e-07
3.100000e+02	3.200000e+02	9.440784e-06	2.641011e-06	2.641011e-06
3.200000e+02	3.300000e+02	5.240126e-06	7.944193e-07	7.944193e-07
3.300000e+02	3.400000e+02	5.518558e-06	8.391933e-07	8.391933e-07
3.400000e+02	3.500000e+02	3.318402e-06	5.615055e-07	5.615055e-07
3.500000e+02	3.600000e+02	3.537984e-06	8.203558e-07	8.203558e-07
3.600000e+02	3.700000e+02	4.604217e-06	1.724427e-06	1.724427e-06
3.700000e+02	3.800000e+02	2.251384e-06	4.218174e-07	4.218174e-07
3.800000e+02	3.900000e+02	1.474685e-06	2.789129e-07	2.789129e-07
3.900000e+02	4.000000e+02	1.055261e-06	2.000149e-07	2.000149e-07
4.000000e+02	4.100000e+02	1.302065e-06	3.369616e-07	3.369616e-07
4.100000e+02	4.200000e+02	1.112674e-06	4.345505e-07	4.345505e-07
4.200000e+02	4.300000e+02	9.198773e-07	1.979575e-07	1.979575e-07
4.300000e+02	4.400000e+02	6.990597e-07	1.600025e-07	1.600025e-07
4.400000e+02	4.500000e+02	2.446567e-07	6.403285e-08	6.403285e-08
4.500000e+02	4.600000e+02	7.997068e-07	3.203862e-07	3.203862e-07
4.600000e+02	4.700000e+02	5.950041e-07	2.123554e-07	2.123554e-07
4.700000e+02	4.800000e+02	3.280632e-07	1.293202e-07	1.293202e-07
4.800000e+02	4.900000e+02	2.315923e-07	9.400422e-08	9.400422e-08
4.900000e+02	5.000000e+02	9.471137e-07	6.558982e-07	6.558982e-07
5.000000e+02	5.100000e+02	2.387032e-07	9.601684e-08	9.601684e-08
5.100000e+02	5.200000e+02	6.898491e-08	2.419270e-08	2.419270e-08
5.200000e+02	5.300000e+02	2.181145e-08	9.002545e-09	9.002545e-09
5.300000e+02	5.400000e+02	3.119673e-08	1.446777e-08	1.446777e-08
5.400000e+02	5.500000e+02	1.898178e-07	1.320394e-07	1.320394e-07
5.500000e+02	5.600000e+02	6.117035e-08	2.382270e-08	2.382270e-08
5.600000e+02	5.700000e+02	1.737092e-08	1.430619e-08	1.430619e-08
5.700000e+02	5.800000e+02	4.688332e-08	1.886995e-08	1.886995e-08
5.800000e+02	5.900000e+02	6.471629e-08	3.576445e-08	3.576445e-08
5.900000e+02	6.000000e+02	2.070580e-08	1.224604e-08	1.224604e-08
6.000000e+02	6.100000e+02	2.896981e-08	2.399717e-08	2.399717e-08
6.100000e+02	6.200000e+02	6.548957e-09	5.209875e-09	5.209875e-09
6.200000e+02	6.300000e+02	1.499423e-08	2.049849e-08	2.049849e-08
6.300000e+02	6.400000e+02	4.558289e-09	2.425737e-09	2.425737e-09
6.400000e+02	6.500000e+02	5.154553e-09	4.329360e-09	4.329360e-09
6.500000e+02	6.600000e+02	5.198470e-09	3.061261e-09	3.061261e-09
6.600000e+02	6.700000e+02	9.584337e-09	6.902168e-09	6.902168e-09
6.700000e+02	6.800000e+02	3.932488e-09	3.285800e-09	3.285800e-09
6.800000e+02	6.900000e+02	2.295267e-09	1.266153e-09	1.266153e-09
6.900000e+02	7.000000e+02	8.879150e-09	5.929418e-09	5.929418e-09
7.000000e+02	7.100000e+02	2.672752e-08	2.214370e-08	2.214370e-08
7.100000e+02	7.200000e+02	1.546192e-09	1.022574e-09	1.022574e-09
7.200000e+02	7.300000e+02	8.905399e-10	5.747231e-10	5.747231e-10
7.300000e+02	7.400000e+02	9.421545e-11	2.014858e-10	2.014858e-10
7.400000e+02	7.500000e+02	3.144432e-09	2.441591e-09	2.441591e-09
7.500000e+02	7.600000e+02	1.361117e-10	1.046932e-10	1.046932e-10
7.600000e+02	7.700000e+02	8.873783e-11	5.881061e-11	5.881061e-11
7.700000e+02	7.800000e+02	6.008921e-11	3.436287e-11	3.436287e-11
7.800000e+02	7.900000e+02	1.610665e-09	1.594798e-09	1.594798e-09
7.900000e+02	8.000000e+02	2.012928e-12	1.009551e-12	1.009551e-12
8.000000e+02	8.100000e+02	1.649674e-10	1.637737e-10	1.637737e-10
8.100000e+02	8.200000e+02	7.731854e-12	7.731854e-12	7.731854e-12
8.200000e+02	8.300000e+02	-4.042482e-10	4.103827e-10	4.103827e-10
8.300000e+02	8.400000e+02	2.724259e-10	1.929553e-10	1.929553e-10
8.400000e+02	8.500000e+02	9.740565e-10	9.713308e-10	9.713308e-10
8.500000e+02	8.600000e+02	9.568597e-12	9.568596e-12	9.568596e-12
8.600000e+02	8.700000e+02	1.648847e-14	6.288528e-14	6.288528e-14
8.700000e+02	8.800000e+02	3.422285e-08	3.422140e-08	3.422140e-08
8.800000e+02	8.900000e+02	7.414587e-09	7.414588e-09	7.414588e-09
8.900000e+02	9.000000e+02	3.747664e-14	3.747663e-14	3.747663e-14
9.000000e+02	9.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e+02	9.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+02	9.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+02	9.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+02	9.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+02	9.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+02	9.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e+02	9.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+02	9.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=green
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/pT_j3
RatioPlotErrorBandColor=green
ScaledBy=6.19855292121686101e-04
Title=LO
XLabel=
YLabel=
yodamerge_scale= 1.00000000e+00
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
