# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
Title=Rapidity of the leading jet
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
XLabel=$y_{j1}$
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~y_{j1}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=0
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
RatioPlotErrorBandColor=red
ScaledBy=1.91088153257004890e-04
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	1.819834e-02	1.523866e-02	1.523866e-02
-4.000000e+00	-3.500000e+00	6.496676e-02	2.034147e-01	2.034147e-01
-3.500000e+00	-3.000000e+00	1.502315e-01	1.840706e-01	1.840706e-01
-3.000000e+00	-2.500000e+00	2.364172e-01	5.299603e-01	5.299603e-01
-2.500000e+00	-2.000000e+00	2.806900e-01	3.507487e-01	3.507487e-01
-2.000000e+00	-1.500000e+00	2.505422e-01	9.775291e-01	9.775291e-01
-1.500000e+00	-1.000000e+00	1.848916e-01	6.028866e-01	6.028866e-01
-1.000000e+00	-5.000000e-01	1.141851e-01	2.313004e-01	2.313004e-01
-5.000000e-01	0.000000e+00	6.894024e-02	6.354579e-01	6.354579e-01
0.000000e+00	5.000000e-01	6.964618e-02	1.729614e-01	1.729614e-01
5.000000e-01	1.000000e+00	1.131618e-01	4.079498e-01	4.079498e-01
1.000000e+00	1.500000e+00	1.853290e-01	2.092829e-01	2.092829e-01
1.500000e+00	2.000000e+00	2.525318e-01	3.157518e-01	3.157518e-01
2.000000e+00	2.500000e+00	2.786698e-01	3.492781e-01	3.492781e-01
2.500000e+00	3.000000e+00	2.399138e-01	2.264861e-01	2.264861e-01
3.000000e+00	3.500000e+00	1.497199e-01	5.780696e-01	5.780696e-01
3.500000e+00	4.000000e+00	6.700176e-02	1.271105e-01	1.271105e-01
4.000000e+00	4.500000e+00	1.796941e-02	1.533164e-01	1.533164e-01
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=green
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/y_j1
RatioPlotErrorBandColor=green
ScaledBy=6.19836737110714303e-06
Title=LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
