# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
Title=Normalized average rapidity of the electron
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_e
XLabel=$z_{e}$
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~z_{e}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=0
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor=red
ScaledBy=1.91088153257004890e-04
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.744196e+00	6.413196e+00	6.413196e+00
5.000000e-02	1.000000e-01	3.652178e+00	4.553390e+00	4.553390e+00
1.000000e-01	1.500000e-01	3.500114e+00	7.906041e+00	7.906041e+00
1.500000e-01	2.000000e-01	3.235922e+00	3.656217e+00	3.656217e+00
2.000000e-01	2.500000e-01	2.939434e+00	3.377437e+00	3.377437e+00
2.500000e-01	3.000000e-01	2.524882e+00	9.618586e+00	9.618586e+00
3.000000e-01	3.500000e-01	2.118048e+00	6.528427e+00	6.528427e+00
3.500000e-01	4.000000e-01	1.623276e+00	4.151340e+00	4.151340e+00
4.000000e-01	4.500000e-01	1.213302e+00	2.434674e+00	2.434674e+00
4.500000e-01	5.000000e-01	8.419816e-01	9.088338e-01	9.088338e-01
5.000000e-01	5.500000e-01	5.963644e-01	1.534614e+00	1.534614e+00
5.500000e-01	6.000000e-01	4.400314e-01	8.138688e-01	8.138688e-01
6.000000e-01	6.500000e-01	3.067980e-01	4.954520e-01	4.954520e-01
6.500000e-01	7.000000e-01	2.061298e-01	4.745410e-01	4.745410e-01
7.000000e-01	7.500000e-01	1.546442e-01	1.181583e+00	1.181583e+00
7.500000e-01	8.000000e-01	1.020679e-01	6.926973e-01	6.926973e-01
8.000000e-01	8.500000e-01	7.242530e-02	6.920847e-01	6.920847e-01
8.500000e-01	9.000000e-01	4.777370e-02	3.170206e-01	3.170206e-01
9.000000e-01	9.500000e-01	3.751982e-02	4.454635e-02	4.454635e-02
9.500000e-01	1.000000e+00	1.978904e-02	1.006305e-01	1.006305e-01
1.000000e+00	1.050000e+00	1.736484e-02	9.318423e-02	9.318423e-02
1.050000e+00	1.100000e+00	1.135441e-02	1.852749e-01	1.852749e-01
1.100000e+00	1.150000e+00	7.861790e-03	1.406282e-02	1.406282e-02
1.150000e+00	1.200000e+00	5.467636e-03	1.174892e-02	1.174892e-02
1.200000e+00	1.250000e+00	3.359864e-03	1.297140e-02	1.297140e-02
1.250000e+00	1.300000e+00	2.554950e-03	1.758613e-02	1.758613e-02
1.300000e+00	1.350000e+00	1.763525e-03	6.174276e-03	6.174276e-03
1.350000e+00	1.400000e+00	1.566309e-03	2.135437e-03	2.135437e-03
1.400000e+00	1.450000e+00	3.031620e-04	1.047622e-03	1.047622e-03
1.450000e+00	1.500000e+00	6.261540e-04	1.756915e-03	1.756915e-03
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=green
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor=green
ScaledBy=6.19836737110714303e-06
Title=LO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.744538e+00	1.788678e-03	1.788678e-03
5.000000e-02	1.000000e-01	3.662370e+00	1.774040e-03	1.774040e-03
1.000000e-01	1.500000e-01	3.495798e+00	1.732342e-03	1.732342e-03
1.500000e-01	2.000000e-01	3.253350e+00	1.671662e-03	1.671662e-03
2.000000e-01	2.500000e-01	2.939308e+00	1.602132e-03	1.602132e-03
2.500000e-01	3.000000e-01	2.550204e+00	1.503519e-03	1.503519e-03
3.000000e-01	3.500000e-01	2.120560e+00	1.384821e-03	1.384821e-03
3.500000e-01	4.000000e-01	1.684284e+00	1.223519e-03	1.223519e-03
4.000000e-01	4.500000e-01	1.253141e+00	1.055764e-03	1.055764e-03
4.500000e-01	5.000000e-01	8.671690e-01	8.620921e-04	8.620921e-04
5.000000e-01	5.500000e-01	6.185780e-01	7.266600e-04	7.266600e-04
5.500000e-01	6.000000e-01	4.525096e-01	6.191738e-04	6.191738e-04
6.000000e-01	6.500000e-01	3.237814e-01	5.240856e-04	5.240856e-04
6.500000e-01	7.000000e-01	2.232596e-01	4.374505e-04	4.374505e-04
7.000000e-01	7.500000e-01	1.534686e-01	3.583595e-04	3.583595e-04
7.500000e-01	8.000000e-01	1.061556e-01	3.335954e-04	3.335954e-04
8.000000e-01	8.500000e-01	7.275322e-02	2.623412e-04	2.623412e-04
8.500000e-01	9.000000e-01	4.986000e-02	2.097221e-04	2.097221e-04
9.000000e-01	9.500000e-01	3.413192e-02	1.745396e-04	1.745396e-04
9.500000e-01	1.000000e+00	2.344150e-02	1.648067e-04	1.648067e-04
1.000000e+00	1.050000e+00	1.623851e-02	1.336431e-04	1.336431e-04
1.050000e+00	1.100000e+00	1.084094e-02	1.063945e-04	1.063945e-04
1.100000e+00	1.150000e+00	7.390560e-03	8.912254e-05	8.912254e-05
1.150000e+00	1.200000e+00	4.958100e-03	6.937328e-05	6.937328e-05
1.200000e+00	1.250000e+00	3.313482e-03	5.837058e-05	5.837058e-05
1.250000e+00	1.300000e+00	2.204922e-03	4.990422e-05	4.990422e-05
1.300000e+00	1.350000e+00	1.457681e-03	4.469957e-05	4.469957e-05
1.350000e+00	1.400000e+00	8.961970e-04	3.228873e-05	3.228873e-05
1.400000e+00	1.450000e+00	6.065044e-04	4.054070e-05	4.054070e-05
1.450000e+00	1.500000e+00	3.698048e-04	1.948693e-05	1.948693e-05
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor=brown
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=brown
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor=brown
Scale=2
ScaledBy=1.05355021816678726e-03
Title=MC@NLO-Dipole
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.835362e+00	3.125405e-03	3.125405e-03
5.000000e-02	1.000000e-01	1.794841e+00	3.308641e-03	3.308641e-03
1.000000e-01	1.500000e-01	1.710131e+00	2.782166e-03	2.782166e-03
1.500000e-01	2.000000e-01	1.583014e+00	4.850328e-03	4.850328e-03
2.000000e-01	2.500000e-01	1.428872e+00	3.356650e-03	3.356650e-03
2.500000e-01	3.000000e-01	1.236523e+00	2.545331e-03	2.545331e-03
3.000000e-01	3.500000e-01	1.020749e+00	2.751642e-03	2.751642e-03
3.500000e-01	4.000000e-01	8.034104e-01	1.829709e-03	1.829709e-03
4.000000e-01	4.500000e-01	5.908694e-01	1.512069e-03	1.512069e-03
4.500000e-01	5.000000e-01	4.041354e-01	1.200031e-03	1.200031e-03
5.000000e-01	5.500000e-01	2.871094e-01	1.175436e-03	1.175436e-03
5.500000e-01	6.000000e-01	2.099676e-01	8.892120e-04	8.892120e-04
6.000000e-01	6.500000e-01	1.480629e-01	7.100484e-04	7.100484e-04
6.500000e-01	7.000000e-01	1.030455e-01	5.836017e-04	5.836017e-04
7.000000e-01	7.500000e-01	7.010402e-02	5.363438e-04	5.363438e-04
7.500000e-01	8.000000e-01	4.842608e-02	4.697363e-04	4.697363e-04
8.000000e-01	8.500000e-01	3.338930e-02	3.793607e-04	3.793607e-04
8.500000e-01	9.000000e-01	2.375370e-02	2.873855e-04	2.873855e-04
9.000000e-01	9.500000e-01	1.596522e-02	2.730768e-04	2.730768e-04
9.500000e-01	1.000000e+00	1.129691e-02	1.856265e-04	1.856265e-04
1.000000e+00	1.050000e+00	7.861058e-03	2.130476e-04	2.130476e-04
1.050000e+00	1.100000e+00	5.477002e-03	1.379337e-04	1.379337e-04
1.100000e+00	1.150000e+00	3.871988e-03	1.414796e-04	1.414796e-04
1.150000e+00	1.200000e+00	2.495412e-03	1.109070e-04	1.109070e-04
1.200000e+00	1.250000e+00	1.827852e-03	1.052157e-04	1.052157e-04
1.250000e+00	1.300000e+00	1.217717e-03	6.104105e-05	6.104105e-05
1.300000e+00	1.350000e+00	7.938354e-04	3.859278e-05	3.859278e-05
1.350000e+00	1.400000e+00	6.867882e-04	5.548606e-05	5.548606e-05
1.400000e+00	1.450000e+00	3.638866e-04	2.481325e-05	2.481325e-05
1.450000e+00	1.500000e+00	2.411786e-04	2.338798e-05	2.338798e-05
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=blue
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_e
RatioPlotErrorBandColor=blue
ScaledBy=6.19466512584469066e-06
Title=MC@LO-Dipole
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.568624e+00	1.765799e-03	1.765799e-03
5.000000e-02	1.000000e-01	3.490462e+00	1.751975e-03	1.751975e-03
1.000000e-01	1.500000e-01	3.328688e+00	1.709712e-03	1.709712e-03
1.500000e-01	2.000000e-01	3.087642e+00	1.653073e-03	1.653073e-03
2.000000e-01	2.500000e-01	2.774440e+00	1.576638e-03	1.576638e-03
2.500000e-01	3.000000e-01	2.400680e+00	1.477099e-03	1.477099e-03
3.000000e-01	3.500000e-01	1.982557e+00	1.343846e-03	1.343846e-03
3.500000e-01	4.000000e-01	1.561420e+00	1.190925e-03	1.190925e-03
