# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_j3
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/LO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatNLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/MCatLO-Dipole/LHC.yoda/MC_VBSCAN_MCComparison/z_j3
Title=Normalized average rapidity of the third jet
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3
XLabel=$z_{j3}$
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~z_{j3}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=0
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/branches/VBSCAN/runs/PS/NLO/LHC.yoda/MC_VBSCAN_MCComparison/z_j3
RatioPlotErrorBandColor=red
ScaledBy=1.91088153257004890e-04
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	8.244708e-02	5.056379e-04	5.056379e-04
5.000000e-02	1.000000e-01	9.168944e-02	4.835130e-04	4.835130e-04
1.000000e-01	1.500000e-01	1.105030e-01	6.692557e-04	6.692557e-04
1.500000e-01	2.000000e-01	1.422293e-01	7.484771e-04	7.484771e-04
2.000000e-01	2.500000e-01	1.915340e-01	1.035651e-03	1.035651e-03
2.500000e-01	3.000000e-01	2.650264e-01	1.325069e-03	1.325069e-03
3.000000e-01	3.500000e-01	3.879928e-01	1.925431e-03	1.925431e-03
3.500000e-01	4.000000e-01	5.779586e-01	3.060628e-03	3.060628e-03
4.000000e-01	4.500000e-01	6.795992e-01	3.903276e-03	3.903276e-03
4.500000e-01	5.000000e-01	6.223418e-01	4.277030e-03	4.277030e-03
5.000000e-01	5.500000e-01	6.460554e-01	4.349597e-03	4.349597e-03
5.500000e-01	6.000000e-01	7.671490e-01	4.837640e-03	4.837640e-03
6.000000e-01	6.500000e-01	7.275926e-01	4.379000e-03	4.379000e-03
6.500000e-01	7.000000e-01	5.550690e-01	3.327336e-03	3.327336e-03
7.000000e-01	7.500000e-01	4.138676e-01	2.886175e-03	2.886175e-03
7.500000e-01	8.000000e-01	3.191320e-01	2.192626e-03	2.192626e-03
8.000000e-01	8.500000e-01	2.434502e-01	1.730671e-03	1.730671e-03
8.500000e-01	9.000000e-01	1.953876e-01	1.562187e-03	1.562187e-03
9.000000e-01	9.500000e-01	1.516562e-01	1.127875e-03	1.127875e-03
9.500000e-01	1.000000e+00	1.199557e-01	1.022837e-03	1.022837e-03
1.000000e+00	1.050000e+00	9.428250e-02	8.728413e-04	8.728413e-04
1.050000e+00	1.100000e+00	7.534084e-02	7.509232e-04	7.509232e-04
1.100000e+00	1.150000e+00	5.859148e-02	6.429958e-04	6.429958e-04
1.150000e+00	1.200000e+00	4.647222e-02	5.660959e-04	5.660959e-04
1.200000e+00	1.250000e+00	3.664170e-02	4.982814e-04	4.982814e-04
1.250000e+00	1.300000e+00	2.854808e-02	4.072798e-04	4.072798e-04
1.300000e+00	1.350000e+00	2.244940e-02	3.664718e-04	3.664718e-04
1.350000e+00	1.400000e+00	1.767415e-02	3.008218e-04	3.008218e-04
