# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
YMax=0.55
Title=Rapidity of the subleading jet (LO+PS)
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotSameStyle=1
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.27
XLabel=$y_{\rm j_2}$
XMax=4.5
YLabel=$d~\sigma_{pp\to e^+\nu \mu^+\nu jj}/d~y_{\rm j_2}$~[fb]
XMin=-4.5
YMin=0
LegendYPos=0.99
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.40,0.40,0.40}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.40,0.40,0.40}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.40,0.40,0.40}}
ScaledBy=1
Title=NLO (fixed order)
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	6.917261e-02	6.165985e-05	6.165985e-05
-4.000000e+00	-3.500000e+00	1.497348e-01	6.068264e-05	6.068264e-05
-3.500000e+00	-3.000000e+00	2.280908e-01	7.210331e-05	7.210331e-05
-3.000000e+00	-2.500000e+00	2.683496e-01	7.895699e-05	7.895699e-05
-2.500000e+00	-2.000000e+00	2.531902e-01	7.758009e-05	7.758009e-05
-2.000000e+00	-1.500000e+00	1.977020e-01	7.612777e-05	7.612777e-05
-1.500000e+00	-1.000000e+00	1.273543e-01	1.405235e-04	1.405235e-04
-1.000000e+00	-5.000000e-01	6.647804e-02	5.832805e-05	5.832805e-05
-5.000000e-01	0.000000e+00	3.167719e-02	5.385338e-05	5.385338e-05
0.000000e+00	5.000000e-01	3.161237e-02	4.914991e-05	4.914991e-05
5.000000e-01	1.000000e+00	6.636314e-02	6.599164e-05	6.599164e-05
1.000000e+00	1.500000e+00	1.271999e-01	1.462098e-04	1.462098e-04
1.500000e+00	2.000000e+00	1.977607e-01	9.044535e-05	9.044535e-05
2.000000e+00	2.500000e+00	2.532220e-01	7.805335e-05	7.805335e-05
2.500000e+00	3.000000e+00	2.685184e-01	8.662801e-05	8.662801e-05
3.000000e+00	3.500000e+00	2.280376e-01	7.690762e-05	7.690762e-05
3.500000e+00	4.000000e+00	1.496414e-01	6.121913e-05	6.121913e-05
4.000000e+00	4.500000e+00	6.910026e-02	6.898570e-05	6.898570e-05
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.46,0.44,0.70}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.46,0.44,0.70}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_HWPP_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.46,0.44,0.70}}
ScaledBy=6.19645389419520692e-06
Title=MG5_aMC+H++ 2.7.1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	6.146882e-02	8.778868e-04	8.778868e-04
-4.000000e+00	-3.500000e+00	1.368177e-01	1.305791e-03	1.305791e-03
-3.500000e+00	-3.000000e+00	2.143602e-01	1.634220e-03	1.634220e-03
-3.000000e+00	-2.500000e+00	2.630394e-01	1.808133e-03	1.808133e-03
-2.500000e+00	-2.000000e+00	2.532614e-01	1.773096e-03	1.773096e-03
-2.000000e+00	-1.500000e+00	1.957832e-01	1.560030e-03	1.560030e-03
-1.500000e+00	-1.000000e+00	1.257880e-01	1.250640e-03	1.250640e-03
-1.000000e+00	-5.000000e-01	6.249744e-02	8.828588e-04	8.828588e-04
-5.000000e-01	0.000000e+00	2.945794e-02	6.067464e-04	6.067464e-04
0.000000e+00	5.000000e-01	3.007758e-02	6.140433e-04	6.140433e-04
5.000000e-01	1.000000e+00	6.661188e-02	9.126263e-04	9.126263e-04
1.000000e+00	1.500000e+00	1.259491e-01	1.251806e-03	1.251806e-03
1.500000e+00	2.000000e+00	1.951387e-01	1.557271e-03	1.557271e-03
2.000000e+00	2.500000e+00	2.500394e-01	1.762235e-03	1.762235e-03
2.500000e+00	3.000000e+00	2.622464e-01	1.805753e-03	1.805753e-03
3.000000e+00	3.500000e+00	2.158596e-01	1.638865e-03	1.638865e-03
3.500000e+00	4.000000e+00	1.379331e-01	1.311074e-03	1.311074e-03
4.000000e+00	4.500000e+00	6.011800e-02	8.681230e-04	8.681230e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.91,0.16,0.54}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.91,0.16,0.54}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.91,0.16,0.54}}
ScaledBy=1.99999999999999867e+00
Title=MG5_aMC+Pythia 8
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	6.235002e-02	8.835795e-04	8.835795e-04
-4.000000e+00	-3.500000e+00	1.358379e-01	1.302259e-03	1.302259e-03
-3.500000e+00	-3.000000e+00	2.154158e-01	1.637575e-03	1.637575e-03
-3.000000e+00	-2.500000e+00	2.596202e-01	1.796941e-03	1.796941e-03
-2.500000e+00	-2.000000e+00	2.518806e-01	1.769421e-03	1.769421e-03
-2.000000e+00	-1.500000e+00	1.989942e-01	1.572985e-03	1.572985e-03
-1.500000e+00	-1.000000e+00	1.286938e-01	1.265473e-03	1.265473e-03
-1.000000e+00	-5.000000e-01	6.821664e-02	9.223383e-04	9.223383e-04
-5.000000e-01	0.000000e+00	3.136726e-02	6.274264e-04	6.274264e-04
0.000000e+00	5.000000e-01	3.089594e-02	6.244773e-04	6.244773e-04
5.000000e-01	1.000000e+00	6.696394e-02	9.142133e-04	9.142133e-04
1.000000e+00	1.500000e+00	1.278132e-01	1.261394e-03	1.261394e-03
1.500000e+00	2.000000e+00	1.978035e-01	1.567597e-03	1.567597e-03
2.000000e+00	2.500000e+00	2.537412e-01	1.776190e-03	1.776190e-03
2.500000e+00	3.000000e+00	2.613690e-01	1.803734e-03	1.803734e-03
3.000000e+00	3.500000e+00	2.148824e-01	1.635178e-03	1.635178e-03
3.500000e+00	4.000000e+00	1.362596e-01	1.304029e-03	1.304029e-03
4.000000e+00	4.500000e+00	6.288334e-02	8.871417e-04	8.871417e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.65,0.46,0.11}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.65,0.46,0.11}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm_hwpp-scaled.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.65,0.46,0.11}}
ScaledBy=1.33288898722063276e-06
Title=PHANTOM+H++ 2.7.1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	5.703164e-02	3.899150e-04	3.899150e-04
-4.000000e+00	-3.500000e+00	1.294049e-01	5.873369e-04	5.873369e-04
-3.500000e+00	-3.000000e+00	2.022686e-01	7.343046e-04	7.343046e-04
-3.000000e+00	-2.500000e+00	2.442172e-01	8.068636e-04	8.068636e-04
-2.500000e+00	-2.000000e+00	2.349670e-01	7.914354e-04	7.914354e-04
-2.000000e+00	-1.500000e+00	1.835229e-01	6.994506e-04	6.994506e-04
-1.500000e+00	-1.000000e+00	1.171716e-01	5.588859e-04	5.588859e-04
-1.000000e+00	-5.000000e-01	5.994800e-02	3.997600e-04	3.997600e-04
-5.000000e-01	0.000000e+00	2.723358e-02	2.694414e-04	2.694414e-04
0.000000e+00	5.000000e-01	2.824924e-02	2.744198e-04	2.744198e-04
5.000000e-01	1.000000e+00	6.018794e-02	4.005592e-04	4.005592e-04
1.000000e+00	1.500000e+00	1.172702e-01	5.591211e-04	5.591211e-04
1.500000e+00	2.000000e+00	1.839680e-01	7.002982e-04	7.002982e-04
2.000000e+00	2.500000e+00	2.347670e-01	7.910985e-04	7.910985e-04
2.500000e+00	3.000000e+00	2.473150e-01	8.119648e-04	8.119648e-04
3.000000e+00	3.500000e+00	2.041186e-01	7.376549e-04	7.376549e-04
3.500000e+00	4.000000e+00	1.296874e-01	5.879778e-04	5.879778e-04
4.000000e+00	4.500000e+00	5.891104e-02	3.962874e-04	3.962874e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.90,0.67,0.01}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.90,0.67,0.01}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.90,0.67,0.01}}
ScaledBy=2.66577807397533929e-02
Title=PHANTOM+Pythia 8
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	5.320894e-02	3.766208e-04	3.766208e-04
-4.000000e+00	-3.500000e+00	1.192083e-01	5.637222e-04	5.637222e-04
-3.500000e+00	-3.000000e+00	1.917414e-01	7.149406e-04	7.149406e-04
-3.000000e+00	-2.500000e+00	2.358654e-01	7.929469e-04	7.929469e-04
-2.500000e+00	-2.000000e+00	2.316134e-01	7.857671e-04	7.857671e-04
-2.000000e+00	-1.500000e+00	1.859940e-01	7.041440e-04	7.041440e-04
-1.500000e+00	-1.000000e+00	1.215888e-01	5.693231e-04	5.693231e-04
-1.000000e+00	-5.000000e-01	6.397600e-02	4.129720e-04	4.129720e-04
-5.000000e-01	0.000000e+00	3.005132e-02	2.830373e-04	2.830373e-04
0.000000e+00	5.000000e-01	2.967010e-02	2.812364e-04	2.812364e-04
5.000000e-01	1.000000e+00	6.362946e-02	4.118519e-04	4.118519e-04
1.000000e+00	1.500000e+00	1.216821e-01	5.695415e-04	5.695415e-04
1.500000e+00	2.000000e+00	1.858181e-01	7.038108e-04	7.038108e-04
2.000000e+00	2.500000e+00	2.304618e-01	7.838112e-04	7.838112e-04
2.500000e+00	3.000000e+00	2.391282e-01	7.984127e-04	7.984127e-04
3.000000e+00	3.500000e+00	1.923439e-01	7.160628e-04	7.160628e-04
3.500000e+00	4.000000e+00	1.201413e-01	5.659240e-04	5.659240e-04
4.000000e+00	4.500000e+00	5.421392e-02	3.801609e-04	3.801609e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor={[rgb]{0.11,0.62,0.47}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.11,0.62,0.47}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor={[rgb]{0.11,0.62,0.47}}
ScaledBy=6.19466512584469066e-06
Title=VBFNLO 3+H7-Dipole
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
