# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_1M_LOPS-H7.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_H7_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/WHIZARD/WHIZARD_EW_Pyth8223_4M.yoda/MC_VBSCAN_MCComparison/z_mu
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_1M_LOPS-H7.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_1M_LOPS.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_H7_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/PHANTOM/plots_loose_cuts2/phantom_norm-scaled.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_mu //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/WHIZARD/WHIZARD_EW_Pyth8223_4M.yoda/MC_VBSCAN_MCComparison/z_mu
Title=Normalised average rapidity of the muon (LO+PS)
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
XLabel=$z_{\mu}$
YLabel=$d~\sigma_{pp\to e^+\nu \mu^+\nu jj}/d~z_{\mu}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
ErrorBandColor={[rgb]{0.40,0.40,0.40}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.40,0.40,0.40}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotErrorBandColor={[rgb]{0.40,0.40,0.40}}
ScaledBy=1
Title=NLO (fixed order)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.774209e+00	8.994111e-04	8.994111e-04
5.000000e-02	1.000000e-01	3.688481e+00	1.286849e-03	1.286849e-03
1.000000e-01	1.500000e-01	3.521569e+00	1.055287e-03	1.055287e-03
1.500000e-01	2.000000e-01	3.274960e+00	1.035752e-03	1.035752e-03
2.000000e-01	2.500000e-01	2.948113e+00	9.707214e-04	9.707214e-04
2.500000e-01	3.000000e-01	2.553875e+00	8.658987e-04	8.658987e-04
3.000000e-01	3.500000e-01	2.116886e+00	8.823212e-04	8.823212e-04
3.500000e-01	4.000000e-01	1.681839e+00	7.592891e-04	7.592891e-04
4.000000e-01	4.500000e-01	1.259669e+00	6.636633e-04	6.636633e-04
4.500000e-01	5.000000e-01	8.691674e-01	5.597303e-04	5.597303e-04
5.000000e-01	5.500000e-01	6.189881e-01	5.165592e-04	5.165592e-04
5.500000e-01	6.000000e-01	4.580428e-01	4.323234e-04	4.323234e-04
6.000000e-01	6.500000e-01	3.255550e-01	3.702832e-04	3.702832e-04
6.500000e-01	7.000000e-01	2.259189e-01	5.339965e-04	5.339965e-04
7.000000e-01	7.500000e-01	1.556834e-01	5.367119e-04	5.367119e-04
7.500000e-01	8.000000e-01	1.086879e-01	2.993244e-04	2.993244e-04
8.000000e-01	8.500000e-01	7.492537e-02	4.551205e-04	4.551205e-04
8.500000e-01	9.000000e-01	5.275128e-02	2.284367e-04	2.284367e-04
9.000000e-01	9.500000e-01	3.713849e-02	2.446960e-04	2.446960e-04
9.500000e-01	1.000000e+00	2.584770e-02	1.502552e-04	1.502552e-04
1.000000e+00	1.050000e+00	1.829628e-02	1.546233e-04	1.546233e-04
1.050000e+00	1.100000e+00	1.261994e-02	1.636052e-04	1.636052e-04
1.100000e+00	1.150000e+00	9.083973e-03	1.378088e-04	1.378088e-04
1.150000e+00	1.200000e+00	6.204986e-03	1.160392e-04	1.160392e-04
1.200000e+00	1.250000e+00	4.252630e-03	9.224187e-05	9.224187e-05
1.250000e+00	1.300000e+00	2.921250e-03	7.452786e-05	7.452786e-05
1.300000e+00	1.350000e+00	2.115321e-03	6.531947e-05	6.531947e-05
1.350000e+00	1.400000e+00	1.240758e-03	1.233366e-04	1.233366e-04
1.400000e+00	1.450000e+00	1.085512e-03	8.655106e-05	8.655106e-05
1.450000e+00	1.500000e+00	6.467660e-04	4.797112e-05	4.797112e-05
# END HISTO1D


# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_1M_LOPS-H7.yoda/MC_VBSCAN_MCComparison/z_mu
ErrorBandColor={[rgb]{0.46,0.44,0.70}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.46,0.44,0.70}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_1M_LOPS-H7.yoda/MC_VBSCAN_MCComparison/z_mu
RatioPlotErrorBandColor={[rgb]{0.46,0.44,0.70}}
ScaledBy=6.19684223473544166e-06
Title=MG5_aMC+H7-Default
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.647834e+00	2.130957e-02	2.130957e-02
5.000000e-02	1.000000e-01	3.580412e+00	2.111041e-02	2.111041e-02
1.000000e-01	1.500000e-01	3.370958e+00	2.048035e-02	2.048035e-02
1.500000e-01	2.000000e-01	3.121226e+00	1.970713e-02	1.970713e-02
2.000000e-01	2.500000e-01	2.853770e+00	1.885470e-02	1.885470e-02
2.500000e-01	3.000000e-01	2.466962e+00	1.750671e-02	1.750671e-02
3.000000e-01	3.500000e-01	2.031202e+00	1.589729e-02	1.589729e-02
3.500000e-01	4.000000e-01	1.639932e+00	1.428987e-02	1.428987e-02
