# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_all.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_scale.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/m_jj
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_all.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_scale.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/m_jj //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/m_jj
YMax=2e-3
Title=Dijet invariant mass (NLO+PS)
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_jj
RatioPlotSameStyle=1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendXPos=0.03
XLabel=$m_{\rm j_1 j_2}$~[GeV]
XMax=4000
YLabel=$d~\sigma_{pp\to e^+\nu \mu^+\nu jj}/d~m_{\rm j_1 j_2}$~[fb/GeV]
XMin=500
YMin=2e-5
LegendYPos=0.575
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_jj
ErrorBandColor={[rgb]{0.40,0.40,0.40}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.40,0.40,0.40}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/m_jj
RatioPlotErrorBandColor={[rgb]{0.40,0.40,0.40}}
ScaledBy=1
Title=NLO (fixed order)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	6.000000e+02	9.732030e-04	7.044979e-07	7.044979e-07
6.000000e+02	7.000000e+02	9.939191e-04	7.463374e-07	7.463374e-07
7.000000e+02	8.000000e+02	9.810313e-04	6.915863e-07	6.915863e-07
8.000000e+02	9.000000e+02	9.418888e-04	6.807397e-07	6.807397e-07
9.000000e+02	1.000000e+03	8.934892e-04	6.347718e-07	6.347718e-07
1.000000e+03	1.100000e+03	8.345154e-04	6.477442e-07	6.477442e-07
1.100000e+03	1.200000e+03	7.773729e-04	6.868229e-07	6.868229e-07
1.200000e+03	1.300000e+03	7.163069e-04	6.843194e-07	6.843194e-07
1.300000e+03	1.400000e+03	6.586059e-04	6.263755e-07	6.263755e-07
1.400000e+03	1.500000e+03	6.041313e-04	5.873098e-07	5.873098e-07
1.500000e+03	1.600000e+03	5.508106e-04	5.673869e-07	5.673869e-07
1.600000e+03	1.700000e+03	5.021270e-04	5.911938e-07	5.911938e-07
1.700000e+03	1.800000e+03	4.574858e-04	5.160603e-07	5.160603e-07
1.800000e+03	1.900000e+03	4.142717e-04	5.063446e-07	5.063446e-07
1.900000e+03	2.000000e+03	3.756897e-04	5.056000e-07	5.056000e-07
2.000000e+03	2.100000e+03	3.410906e-04	4.873919e-07	4.873919e-07
2.100000e+03	2.200000e+03	3.079866e-04	4.914175e-07	4.914175e-07
2.200000e+03	2.300000e+03	2.766644e-04	5.807409e-07	5.807409e-07
2.300000e+03	2.400000e+03	2.510529e-04	5.469309e-07	5.469309e-07
2.400000e+03	2.500000e+03	2.261741e-04	4.089424e-07	4.089424e-07
2.500000e+03	2.600000e+03	2.027373e-04	3.960482e-07	3.960482e-07
2.600000e+03	2.700000e+03	1.819410e-04	3.826197e-07	3.826197e-07
2.700000e+03	2.800000e+03	1.641075e-04	3.547508e-07	3.547508e-07
2.800000e+03	2.900000e+03	1.459949e-04	4.279927e-07	4.279927e-07
2.900000e+03	3.000000e+03	1.321942e-04	4.691798e-07	4.691798e-07
3.000000e+03	3.100000e+03	1.165815e-04	3.739724e-07	3.739724e-07
3.100000e+03	3.200000e+03	1.047914e-04	3.006681e-07	3.006681e-07
3.200000e+03	3.300000e+03	9.384839e-05	2.777083e-07	2.777083e-07
3.300000e+03	3.400000e+03	8.316951e-05	2.774629e-07	2.774629e-07
3.400000e+03	3.500000e+03	7.414828e-05	2.403931e-07	2.403931e-07
3.500000e+03	3.600000e+03	6.588119e-05	2.118956e-07	2.118956e-07
3.600000e+03	3.700000e+03	5.828632e-05	2.214173e-07	2.214173e-07
3.700000e+03	3.800000e+03	5.174820e-05	2.151184e-07	2.151184e-07
3.800000e+03	3.900000e+03	4.562148e-05	1.905981e-07	1.905981e-07
3.900000e+03	4.000000e+03	4.065413e-05	1.917040e-07	1.917040e-07
# END HISTO1D


# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj
ErrorBandColor={[rgb]{0.46,0.44,0.70}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.46,0.44,0.70}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/H7/run_H7_10M_mush1.yoda/MC_VBSCAN_MCComparison/m_jj
RatioPlotErrorBandColor={[rgb]{0.46,0.44,0.70}}
ScaledBy=2.06314518852397269e-06
Title=MG5_aMC+H7-Default
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	6.000000e+02	9.952200e-04	6.692291e-06	6.692291e-06
