# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scalestat.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scale.yoda/MC_VBSCAN_MCComparison/y_j2
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scalestat.yoda/MC_VBSCAN_MCComparison/y_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scale.yoda/MC_VBSCAN_MCComparison/y_j2
YMax=0.3
Title=Rapidity of the subleading jet
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotSameStyle=1
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
LegendXPos=0.25
XLabel=$y_{j2}$
XMax=4.5
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~y_{j2}$~[fb]
XMin=-4.5
YMin=0
LegendYPos=0.99
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	6.866147e-02	6.160239e-05	6.160239e-05
-4.000000e+00	-3.500000e+00	1.486148e-01	6.025861e-05	6.025861e-05
-3.500000e+00	-3.000000e+00	2.260737e-01	7.165669e-05	7.165669e-05
-3.000000e+00	-2.500000e+00	2.652607e-01	7.874333e-05	7.874333e-05
-2.500000e+00	-2.000000e+00	2.493234e-01	7.731507e-05	7.731507e-05
-2.000000e+00	-1.500000e+00	1.937414e-01	7.589893e-05	7.589893e-05
-1.500000e+00	-1.000000e+00	1.240998e-01	1.403829e-04	1.403829e-04
-1.000000e+00	-5.000000e-01	6.431956e-02	5.745002e-05	5.745002e-05
-5.000000e-01	0.000000e+00	3.037019e-02	5.375294e-05	5.375294e-05
0.000000e+00	5.000000e-01	3.030916e-02	4.904102e-05	4.904102e-05
5.000000e-01	1.000000e+00	6.421355e-02	6.586031e-05	6.586031e-05
1.000000e+00	1.500000e+00	1.239576e-01	1.460451e-04	1.460451e-04
1.500000e+00	2.000000e+00	1.937939e-01	9.023146e-05	9.023146e-05
2.000000e+00	2.500000e+00	2.493511e-01	7.759160e-05	7.759160e-05
2.500000e+00	3.000000e+00	2.654302e-01	8.643024e-05	8.643024e-05
3.000000e+00	3.500000e+00	2.260175e-01	7.677092e-05	7.677092e-05
3.500000e+00	4.000000e+00	1.485288e-01	6.111790e-05	6.111790e-05
4.000000e+00	4.500000e+00	6.859292e-02	6.895413e-05	6.895413e-05
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=blue
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotErrorBandColor=blue
Title=VBFNLO 3+H7-Dipole
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	7.116962e-02	2.742340e-03	1.389180e-03
-4.000000e+00	-3.500000e+00	1.478921e-01	3.633960e-03	1.261460e-03
-3.500000e+00	-3.000000e+00	2.232456e-01	3.596800e-03	0.000000e+00
-3.000000e+00	-2.500000e+00	2.594824e-01	1.809200e-03	0.000000e+00
-2.500000e+00	-2.000000e+00	2.430750e-01	2.110800e-03	0.000000e+00
-2.000000e+00	-1.500000e+00	1.869174e-01	1.470440e-03	0.000000e+00
-1.500000e+00	-1.000000e+00	1.184977e-01	1.165060e-03	0.000000e+00
-1.000000e+00	-5.000000e-01	6.085400e-02	7.338000e-04	0.000000e+00
-5.000000e-01	0.000000e+00	2.852028e-02	5.423600e-04	0.000000e+00
0.000000e+00	5.000000e-01	2.828866e-02	2.219200e-04	1.356000e-05
5.000000e-01	1.000000e+00	6.055460e-02	2.942600e-04	0.000000e+00
1.000000e+00	1.500000e+00	1.187941e-01	1.177540e-03	0.000000e+00
1.500000e+00	2.000000e+00	1.870130e-01	1.454300e-03	0.000000e+00
2.000000e+00	2.500000e+00	2.426744e-01	1.508200e-03	0.000000e+00
2.500000e+00	3.000000e+00	2.603264e-01	2.837200e-03	0.000000e+00
3.000000e+00	3.500000e+00	2.219752e-01	2.076000e-03	7.598000e-04
3.500000e+00	4.000000e+00	1.474476e-01	2.992440e-03	1.585120e-03
4.000000e+00	4.500000e+00	7.112260e-02	2.343660e-03	9.783800e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_scalestat.yoda/MC_VBSCAN_MCComparison/y_j2
ErrorBandColor=green
ErrorBandOpacity=0.3
