# BEGIN PLOT
LegendOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j1 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/pT_j1
DrawOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/pT_j1 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/pT_j1
RatioPlotReference=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1
LineColor=black
LineStyle=solid
Path=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j1
ScaledBy=1.64719761446097032e-04
Title=Powheg
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	3.576306e-04	3.323813e-06	3.323813e-06
5.000000e+01	7.500000e+01	2.274773e-03	8.382247e-06	8.382247e-06
7.500000e+01	1.000000e+02	4.511624e-03	1.180414e-05	1.180414e-05
1.000000e+02	1.250000e+02	5.933128e-03	1.353693e-05	1.353693e-05
1.250000e+02	1.500000e+02	6.341344e-03	1.399541e-05	1.399541e-05
1.500000e+02	1.750000e+02	5.989488e-03	1.360148e-05	1.360148e-05
1.750000e+02	2.000000e+02	5.262984e-03	1.275033e-05	1.275033e-05
2.000000e+02	2.250000e+02	4.482472e-03	1.176709e-05	1.176709e-05
2.250000e+02	2.500000e+02	3.682412e-03	1.066582e-05	1.066582e-05
2.500000e+02	2.750000e+02	3.017858e-03	9.654586e-06	9.654586e-06
2.750000e+02	3.000000e+02	2.403175e-03	8.615855e-06	8.615855e-06
3.000000e+02	3.250000e+02	1.941291e-03	7.743881e-06	7.743881e-06
3.250000e+02	3.500000e+02	1.569208e-03	6.962578e-06	6.962578e-06
3.500000e+02	3.750000e+02	1.250364e-03	6.214489e-06	6.214489e-06
