# BEGIN PLOT
LegendOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/y_j2 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/y_j2
DrawOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/y_j2 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlotReference=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/y_j2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/y_j2
LineColor=black
LineStyle=solid
Path=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/y_j2
ScaledBy=1.64719761446097032e-04
Title=Powheg
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	6.135552e-02	3.079151e-04	3.079151e-04
-4.000000e+00	-3.500000e+00	1.375261e-01	4.609134e-04	4.609134e-04
-3.500000e+00	-3.000000e+00	2.198898e-01	5.827520e-04	5.827520e-04
-3.000000e+00	-2.500000e+00	2.650082e-01	6.397340e-04	6.397340e-04
-2.500000e+00	-2.000000e+00	2.550940e-01	6.276519e-04	6.276519e-04
-2.000000e+00	-1.500000e+00	1.994097e-01	5.549530e-04	5.549530e-04
-1.500000e+00	-1.000000e+00	1.274574e-01	4.436745e-04	4.436745e-04
-1.000000e+00	-5.000000e-01	6.614822e-02	3.196685e-04	3.196685e-04
-5.000000e-01	0.000000e+00	3.098580e-02	2.187748e-04	2.187748e-04
0.000000e+00	5.000000e-01	3.131776e-02	2.199865e-04	2.199865e-04
5.000000e-01	1.000000e+00	6.662380e-02	3.207630e-04	3.207630e-04
1.000000e+00	1.500000e+00	1.275640e-01	4.438384e-04	4.438384e-04
1.500000e+00	2.000000e+00	2.002204e-01	5.560624e-04	5.560624e-04
2.000000e+00	2.500000e+00	2.551418e-01	6.277108e-04	6.277108e-04
2.500000e+00	3.000000e+00	2.661832e-01	6.411318e-04	6.411318e-04
3.000000e+00	3.500000e+00	2.188568e-01	5.814024e-04	5.814024e-04
3.500000e+00	4.000000e+00	1.382657e-01	4.621558e-04	4.621558e-04
4.000000e+00	4.500000e+00	6.153000e-02	3.083754e-04	3.083754e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
LineColor=red
LineStyle=solid
Path=/other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/y_j2
ScaledBy=1.05355021816678726e-03
Title=VBFNLO-HW-Dip
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	7.116962e-02	1.708741e-04	1.708741e-04
-4.000000e+00	-3.500000e+00	1.478921e-01	2.305786e-04	2.305786e-04
-3.500000e+00	-3.000000e+00	2.232456e-01	3.048457e-04	3.048457e-04
-3.000000e+00	-2.500000e+00	2.594824e-01	3.306726e-04	3.306726e-04
-2.500000e+00	-2.000000e+00	2.430750e-01	3.264861e-04	3.264861e-04
-2.000000e+00	-1.500000e+00	1.869174e-01	3.690832e-04	3.690832e-04
-1.500000e+00	-1.000000e+00	1.184977e-01	3.122696e-04	3.122696e-04
-1.000000e+00	-5.000000e-01	6.085400e-02	1.983428e-04	1.983428e-04
-5.000000e-01	0.000000e+00	2.852028e-02	1.494137e-04	1.494137e-04
0.000000e+00	5.000000e-01	2.828866e-02	1.240092e-04	1.240092e-04
5.000000e-01	1.000000e+00	6.055460e-02	2.331358e-04	2.331358e-04
1.000000e+00	1.500000e+00	1.187941e-01	2.402619e-04	2.402619e-04
1.500000e+00	2.000000e+00	1.870130e-01	3.397782e-04	3.397782e-04
2.000000e+00	2.500000e+00	2.426744e-01	3.331978e-04	3.331978e-04
2.500000e+00	3.000000e+00	2.603264e-01	3.244020e-04	3.244020e-04
3.000000e+00	3.500000e+00	2.219752e-01	5.848758e-04	5.848758e-04
3.500000e+00	4.000000e+00	1.474476e-01	2.504319e-04	2.504319e-04
4.000000e+00	4.500000e+00	7.112260e-02	1.865512e-04	1.865512e-04
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/y_j2
LineColor=blue
LineStyle=solid
Path=/run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/y_j2
ScaledBy=4.29481468359931388e-06
Title=MG5aMC-HWpp
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
