# BEGIN PLOT
LegendOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_j3 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_j3 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_j3
DrawOnly=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_j3 /other_Yodas/VBFNLO/Herwig-MCatNLO-DipoleShower.yoda/MC_VBSCAN_MCComparison/z_j3 /run_5MevtsNLO-HWPP/run_HWPP_5M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_j3
RatioPlotReference=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_j3
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D /other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_j3
LineColor=black
LineStyle=solid
Path=/other_Yodas/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/z_j3
ScaledBy=1.64719761446097032e-04
Title=Powheg
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.405231e-01	1.473163e-03	1.473163e-03
5.000000e-02	1.000000e-01	1.476566e-01	1.510242e-03	1.510242e-03
1.000000e-01	1.500000e-01	1.636065e-01	1.589387e-03	1.589387e-03
1.500000e-01	2.000000e-01	1.851150e-01	1.690918e-03	1.690918e-03
2.000000e-01	2.500000e-01	2.239784e-01	1.859912e-03	1.859912e-03
2.500000e-01	3.000000e-01	2.825902e-01	2.089081e-03	2.089081e-03
3.000000e-01	3.500000e-01	3.754952e-01	2.407960e-03	2.407960e-03
3.500000e-01	4.000000e-01	5.154160e-01	2.821287e-03	2.821287e-03
4.000000e-01	4.500000e-01	5.621542e-01	2.946327e-03	2.946327e-03
4.500000e-01	5.000000e-01	5.134396e-01	2.815620e-03	2.815620e-03
5.000000e-01	5.500000e-01	5.255140e-01	2.848786e-03	2.848786e-03
5.500000e-01	6.000000e-01	6.145588e-01	3.080582e-03	3.080582e-03
6.000000e-01	6.500000e-01	6.162264e-01	3.084682e-03	3.084682e-03
6.500000e-01	7.000000e-01	4.707470e-01	2.696020e-03	2.696020e-03
7.000000e-01	7.500000e-01	3.395344e-01	2.289765e-03	2.289765e-03
7.500000e-01	8.000000e-01	2.547358e-01	1.983356e-03	1.983356e-03
8.000000e-01	8.500000e-01	1.955990e-01	1.737851e-03	1.737851e-03
8.500000e-01	9.000000e-01	1.544812e-01	1.544426e-03	1.544426e-03
9.000000e-01	9.500000e-01	1.187213e-01	1.353922e-03	1.353922e-03
9.500000e-01	1.000000e+00	9.373868e-02	1.203262e-03	1.203262e-03
1.000000e+00	1.050000e+00	7.349632e-02	1.065276e-03	1.065276e-03
1.050000e+00	1.100000e+00	5.648098e-02	9.338572e-04	9.338572e-04
1.100000e+00	1.150000e+00	4.479260e-02	8.316345e-04	8.316345e-04
1.150000e+00	1.200000e+00	3.492618e-02	7.343530e-04	7.343530e-04
1.200000e+00	1.250000e+00	2.884266e-02	6.673398e-04	6.673398e-04
1.250000e+00	1.300000e+00	2.339220e-02	6.009868e-04	6.009868e-04
